Cusip,Company_Name,Ticker,anndats,transcript_date,actual_eps,forecast_eps
00000000,GLOBAL BLUE GROUP HOLDING LTD,APTV,2018-02-01,2018-02-01,1.28,4.75
00030710,AAC HOLDINGS INC,AAC,2018-08-02,2018-08-02,0.09,0.2
00030710,AAC HOLDINGS INC,AAC,2018-11-06,2018-11-06,-0.08,0.23
00030710,AAC HOLDINGS INC,AAC,2019-04-16,2019-04-16,-0.85,0.2
00030710,AAC HOLDINGS INC,AAC,2019-05-09,2019-05-09,-0.79,0.09
00030710,AAC HOLDINGS INC,AAC,2019-08-30,2019-08-30,-0.5,-0.1
00032Q10,AADI BIOSCIENCE INC,AADI,2022-05-12,2022-05-12,-0.66,-0.78
00032Q10,AADI BIOSCIENCE INC,AADI,2022-08-10,2022-08-10,-0.87,-0.73
00032Q10,AADI BIOSCIENCE INC,AADI,2022-11-09,2022-11-09,-0.68,-0.75
00032Q10,AADI BIOSCIENCE INC,AADI,2023-03-28,2023-03-28,-0.52,-2.88
00032Q10,AADI BIOSCIENCE INC,AADI,2023-05-10,2023-05-10,-0.57,-0.7
00032Q10,AADI BIOSCIENCE INC,AADI,2023-08-09,2023-08-09,-0.67,-0.62
00032Q10,AADI BIOSCIENCE INC,AADI,2023-11-08,2023-11-08,-0.6,-0.73
00036020,AAON INC,AAON,2003-07-22,2003-07-22,0.25,0.28
00036020,AAON INC,AAON,2003-10-21,2003-10-21,0.27,0.31
00036020,AAON INC,AAON,2004-02-11,2004-02-11,0.3,1.05
00036020,AAON INC,AAON,2004-04-19,2004-04-19,0.18,0.28
00036020,AAON INC,AAON,2004-07-20,2004-07-20,0.12,0.23
00036020,AAON INC,AAON,2004-10-19,2004-10-19,0.12,0.15
00036020,AAON INC,AAON,2005-02-14,2005-02-14,0.16,0.58
00036020,AAON INC,AAON,2005-04-19,2005-04-19,0.26,0.16
00036020,AAON INC,AAON,2005-08-02,2005-08-02,0.24,0.3
00036020,AAON INC,AAON,2005-10-25,2005-10-25,0.22,0.33
00036020,AAON INC,AAON,2006-02-15,2006-02-15,0.18,0.95
00036020,AAON INC,AAON,2006-04-25,2006-04-25,0.3,0.25
00036020,AAON INC,AAON,2006-08-08,2006-08-08,0.27,0.35
00036020,AAON INC,AAON,2006-11-08,2006-11-08,0.43,0.35
00036020,AAON INC,AAON,2007-03-14,2007-03-14,0.35,1.35
00036020,AAON INC,AAON,2007-05-09,2007-05-09,0.5,0.34
00036020,AAON INC,AAON,2007-08-02,2007-08-02,0.54,0.51
00036020,AAON INC,AAON,2007-11-07,2007-11-07,0.28,0.35
00036020,AAON INC,AAON,2008-03-12,2008-03-12,0.24,1.22
00036020,AAON INC,AAON,2008-05-07,2008-05-07,0.35,0.29
00036020,AAON INC,AAON,2008-08-06,2008-08-06,0.43,0.38
00036020,AAON INC,AAON,2008-11-05,2008-11-05,0.47,0.39
00036020,AAON INC,AAON,2009-03-11,2009-03-11,0.35,1.57
00036020,AAON INC,AAON,2009-05-06,2009-05-06,0.39,0.35
00036020,AAON INC,AAON,2009-08-10,2009-08-10,0.41,0.41
00036020,AAON INC,AAON,2009-11-02,2009-11-02,0.45,0.39
00036020,AAON INC,AAON,2010-03-15,2010-03-15,0.36,1.52
00036020,AAON INC,AAON,2010-05-06,2010-05-06,0.3,0.35
00036020,AAON INC,AAON,2010-08-06,2010-08-06,0.34,0.37
00036020,AAON INC,AAON,2010-11-08,2010-11-08,0.31,0.35
00036020,AAON INC,AAON,2011-03-10,2011-03-10,0.35,1.25
00036020,AAON INC,AAON,2011-05-05,2011-05-05,0.22,0.27
00036020,AAON INC,AAON,2011-08-04,2011-08-04,0.15,0.27
00036020,AAON INC,AAON,2011-11-08,2011-11-08,0.23,0.26
00036020,AAON INC,AAON,2012-03-14,2012-03-14,0.09,0.75
00036020,AAON INC,AAON,2012-05-08,2012-05-08,0.2,0.2
00036020,AAON INC,AAON,2012-08-08,2012-08-08,0.38,0.23
00036020,AAON INC,AAON,2012-11-08,2012-11-08,0.24,0.23
00036020,AAON INC,AAON,2017-05-04,2017-05-04,0.19,0.21
00036020,AAON INC,AAON,2017-08-03,2017-08-03,0.26,0.29
