CUSIP,fiscal_year,quarter,actual_eps,forecast_eps,cusip,eps_name,transcript_name,confidence_level,filepath,transcript_date,eps_date,eps_value,eps_date_from_mapping,confidence_level_from_mapping
46062R10,2005.0,1.0,0.63,,46062R10,INTERPOOL INCORPORATED,Interpool Inc.,high,transcripts_by_company/Interpool_Inc_2005Q1.txt,2005-01-05,2005-03-31,,2005-03-31,high
46568510,2014.0,1.0,0.44,1.27,46568510,ITC HOLDINGS CORP,ITC Holdings Corp.,high,transcripts_by_company/ITC_Holdings_Corp_2014Q1.txt,2014-02-27,2014-02-27,1.6333,2014-02-27,high
23332B10,2007.0,3.0,0.26,0.38,23332B10,DSP GROUP INC,"DSP Group, Inc.",high,transcripts_by_company/DSP_Group_Inc_2007Q3.txt,2007-07-23,2007-07-23,0.25,2007-07-23,high
31682710,2011.0,4.0,0.61,0.58,31682710,51JOB INC,51job Inc,high,transcripts_by_company/51job_Inc_2011Q4.txt,2011-11-10,2011-11-09,0.52,2011-11-09,high
33740N10,2011.0,4.0,0.03,0.05,33740N10,1ST UNITED BANCORP INC,1st United Bancorp Inc,high,transcripts_by_company/1st_United_Bancorp_Inc_2011Q4.txt,2011-10-25,2011-10-24,0.05,2011-10-24,high
55269010,2016.0,1.0,0.17,0.23,55269010,MDU RESOURCES GROUP INC,"MDU Resources Group, Inc.",high,transcripts_by_company/MDU_Resources_Group_Inc_2016Q1.txt,2016-02-04,2016-02-03,0.92,2016-02-03,high
46069S10,2015.0,4.0,0.2,0.18,46069S10,INTERSIL CORPORATION,Intersil Corporation,high,transcripts_by_company/Intersil_Corporation_2015Q4.txt,2015-12-02,2016-01-27,0.68,2016-01-27,high
42628110,2010.0,2.0,0.35,0.37,42628110,HENRY JACK & ASSOCIATES,Jack Henry &amp; Associates,high,transcripts_by_company/Jack_Henry_and_Associates_2010Q2.txt,2010-05-05,2010-05-04,0.37,2010-05-04,high
97314910,2005.0,3.0,0.07,0.05,97314910,WIND RIVER SYSTEMS INC,Wind River Systems,high,transcripts_by_company/Wind_River_Systems_2005Q3.txt,2005-08-23,2005-08-23,0.07,2005-08-23,high
27915810,2016.0,4.0,0.03,0.33,27915810,ECOPETROL SA,Ecopetrol SA,high,transcripts_by_company/Ecopetrol_SA_2016Q4.txt,2016-11-16,2016-11-15,0.04,2016-11-15,high
26747510,2009.0,4.0,0.15,0.19,26747510,DYCOM INDUSTRIES INC,"Dycom Industries, Inc.",high,transcripts_by_company/Dycom_Industries_Inc_2009Q4.txt,2009-11-24,2009-11-23,0.15,2009-11-23,high
05348410,2008.0,1.0,0.6,0.67,05348410,AVALONBAY COMMUNITIES INC,Avalonbay Communities,high,transcripts_by_company/Avalonbay_Communities_2008Q1.txt,2008-02-07,2008-02-06,4.38,2008-02-06,high
55349810,2019.0,2.0,1.22,1.2,55349810,MSA SAFETY INC,MSA Safety Incorporated,high,transcripts_by_company/MSA_Safety_Incorporated_2019Q2.txt,2019-04-25,2019-04-24,1.14,2019-04-24,high
44485910,2005.0,2.0,0.51,0.52,44485910,HUMANA INC,Humana. Inc.,high,transcripts_by_company/Humana_Inc_2005Q2.txt,2005-05-02,2005-05-02,0.53,2005-05-02,high
98417P10,2017.0,1.0,,,98417P10,XINYUAN REAL ESTATE CO LTD,"Xinyuan Real Estate Co., Ltd.",high,transcripts_by_company/Xinyuan_Real_Estate_Co_Ltd_2017Q1.txt,2017-02-14,2017-02-14,,2017-02-14,high
58446K10,2003.0,4.0,0.06,-0.2,58446K10,MEDIACOM COMMUNICATIONS CORP,Mediacom Communications,high,transcripts_by_company/Mediacom_Communications_2003Q4.txt,2003-11-05,2003-11-05,0.02,2003-11-05,high
00095710,2017.0,3.0,0.51,0.54,00095710,ABM INDUSTRIES INC,ABM Industries Incorporated,high,transcripts_by_company/ABM_Industries_Incorporated_2017Q3.txt,2017-07-12,2017-09-06,0.51,2017-09-06,high
68213N10,2020.0,3.0,0.6,0.82,68213N10,OMNICELL INC,"Omnicell, Inc.",high,transcripts_by_company/Omnicell_Inc_2020Q3.txt,2020-07-28,2020-07-28,0.37,2020-07-28,high
56275010,2018.0,4.0,0.46,0.35,56275010,MANHATTAN ASSOCIATES INC,"Manhattan Associates, Inc.",high,transcripts_by_company/Manhattan_Associates_Inc_2018Q4.txt,2018-10-23,2018-10-23,0.49,2018-10-23,high
43300010,2022.0,2.0,-0.1,-0.03,43300010,HIMS & HERS HEALTH INC,"Hims &amp; Hers Health, Inc.",high,transcripts_by_company/Hims_and_Hers_Health_Inc_2022Q2.txt,2022-05-09,2022-05-09,-0.08,2022-05-09,high
86800U10,2017.0,3.0,,0.41,86800U10,SUPER MICRO COMPUTER INC,"Super Micro Computer, Inc.",high,transcripts_by_company/Super_Micro_Computer_Inc_2017Q3.txt,2017-08-03,2017-08-03,1.57,2017-08-03,high
03037110,2009.0,1.0,0.03,0.12,03037110,AMERICAN VANGUARD CORP,American Vanguard,high,transcripts_by_company/American_Vanguard_2009Q1.txt,2009-03-09,2009-03-09,0.73,2009-03-09,high
14756B10,2006.0,1.0,-0.07,-0.02,14756B10,CASH SYSTEMS INC,"Cash Systems, Inc.",high,transcripts_by_company/Cash_Systems_Inc_2006Q1.txt,2006-02-21,2006-03-16,-0.23,2006-03-16,high
02081G10,2012.0,3.0,-0.02,0.0,02081G10,ALPHATEC HOLDINGS INC,"Alphatec Spine, Inc.",high,transcripts_by_company/Alphatec_Spine_Inc_2012Q3.txt,2012-08-07,2012-08-07,-0.04,2012-08-07,high
M6184R10,2003.0,3.0,,0.02,M6184R10,JACADA LTD.,Jacada Ltd.,high,transcripts_by_company/Jacada_Ltd_2003Q3.txt,2003-07-28,2003-07-28,-0.02,2003-07-28,high
90431110,2014.0,3.0,0.41,0.42,90431110,UNDER ARMOUR INC,"Under Armour, Inc.",high,transcripts_by_company/Under_Armour_Inc_2014Q3.txt,2014-09-03,2014-10-23,0.41,2014-10-23,high
52186520,2021.0,1.0,3.73,2.97,52186520,LEAR CORP,Lear Corporation,high,transcripts_by_company/Lear_Corporation_2021Q1.txt,2021-02-04,2021-02-04,5.33,2021-02-04,high
44332010,2016.0,1.0,0.58,0.41,44332010,HUB GROUP INC,"Hub Group, Inc.",high,transcripts_by_company/Hub_Group_Inc_2016Q1.txt,2016-02-03,2016-02-03,2.01,2016-02-03,high
