CUSIP,fiscal_year,quarter,actual_eps,forecast_eps,cusip,eps_name,transcript_name,confidence_level,filepath,transcript_date,eps_date,eps_value,eps_date_from_mapping,confidence_level_from_mapping,mapping_key,eps_std
29970N10,2023.0,2.0,-0.11,-0.11,29970N10,EVE HOLDING INC,"Eve Holding, Inc.",high,transcripts_by_company/Eve_Holding_Inc_2023Q2.txt,2023-05-09,2023-05-09,-0.09,2023-05-09,high,29970N10_2023_2,0.0133333333333333
29078710,2003.0,3.0,0.07,0.06,29078710,EMBARCADERO TECHNOLOGIES,Embarcadero Technologies,high,transcripts_by_company/Embarcadero_Technologies_2003Q3.txt,2003-07-24,2003-07-24,0.05,2003-07-24,high,29078710_2003_3,0.00625
90343C10,2010.0,4.0,-0.1,0.03,90343C10,US AUTO PARTS NETWORK INC,US Auto Parts,high,transcripts_by_company/US_Auto_Parts_2010Q4.txt,2010-11-08,2010-11-08,-0.43,2010-11-08,high,90343C10_2010_4,0.0209999999999999
49428J10,2016.0,4.0,0.28,0.22,49428J10,KIMBALL ELECTRONICS INC,Kimball Electronics Inc.,high,transcripts_by_company/Kimball_Electronics_Inc_2016Q4.txt,2016-11-03,2016-11-02,0.24,2016-11-02,high,49428J10_2016_4,
14163310,2015.0,2.0,-0.16,-0.2,14163310,CARECOM INC,"Care.com, Inc.",high,transcripts_by_company/Carecom_Inc_2015Q2.txt,2015-05-12,2015-05-12,-0.33,2015-05-12,high,14163310_2015_2,0.0333333333333333
29444U50,2014.0,1.0,0.81,0.85,29444U50,EQUINIX INC,Equinix Inc.,high,transcripts_by_company/Equinix_Inc_2014Q1.txt,2014-02-19,2014-02-19,1.89,2014-02-19,high,29444U50_2014_1,0.1122222222222222
00105510,2016.0,3.0,1.82,1.63,00105510,AFLAC INC,Aflac Incorporated,high,transcripts_by_company/Aflac_Incorporated_2016Q3.txt,2016-07-29,2016-07-28,1.71,2016-07-28,high,00105510_2016_3,0.0377777777777777
92335C10,2021.0,2.0,-0.05,-0.11,92335C10,VERA BRADLEY INC,"Vera Bradley, Inc.",high,transcripts_by_company/Vera_Bradley_Inc_2021Q2.txt,2021-06-09,2021-06-09,-0.05,2021-06-09,high,92335C10_2021_2,0.1211111111111111
51384710,2012.0,4.0,1.27,1.22,51384710,LANCASTER COLONY CORP,Lancaster Colony Corp.,high,transcripts_by_company/Lancaster_Colony_Corp_2012Q4.txt,2012-10-25,2012-10-25,0.98,2012-10-25,high,51384710_2012_4,0.0711111111111111
87943Q10,2006.0,3.0,0.57,,87943Q10,TELEKOM AUSTRIA AG,Telekom Austria A.G.,high,transcripts_by_company/Telekom_Austria_AG_2006Q3.txt,2006-08-23,2006-08-23,0.7,2006-08-23,high,87943Q10_2006_3,
22164K10,2017.0,4.0,0.47,0.46,22164K10,COTIVITI HOLDINGS INC,"Cotiviti Holdings, Inc.",high,transcripts_by_company/Cotiviti_Holdings_Inc_2017Q4.txt,2017-12-07,2018-02-21,1.57,2018-02-21,high,22164K10_2017_4,0.014
12618T10,2020.0,4.0,0.95,0.76,12618T10,CRA INTERNATIONAL INC,"CRA International, Inc.",high,transcripts_by_company/CRA_International_Inc_2020Q4.txt,2020-10-29,2020-10-29,0.76,2020-10-29,high,12618T10_2020_4,0.094
38238810,2005.0,1.0,0.47,0.41,38238810,BF GOODRICH COMPANY,Goodrich Corporation,high,transcripts_by_company/Goodrich_Corporation_2005Q1.txt,2005-02-07,2005-02-07,1.41,2005-02-07,high,38238810_2005_1,0.02
02208R10,2016.0,4.0,0.41,0.35,02208R10,ALTRA INDUSTRIAL MOTION CORP,Altra Industrial Motion Corp.,high,transcripts_by_company/Altra_Industrial_Motion_Corp_2016Q4.txt,2016-10-21,2016-10-21,0.35,2016-10-21,high,02208R10_2016_4,0.018
86789210,2010.0,4.0,0.28,-0.05,86789210,SUNSTONE HOTEL INVESTORS INC,Sunstone Hotel Investors Inc.,high,transcripts_by_company/Sunstone_Hotel_Investors_Inc_2010Q4.txt,2010-10-01,2010-11-04,0.19,2010-11-04,high,86789210_2010_4,0.0033333333333333
08180D10,2022.0,2.0,-0.1,-0.12,08180D10,BENEFITFOCUS INC,"Benefitfocus, Inc.",high,transcripts_by_company/Benefitfocus_Inc_2022Q2.txt,2022-05-10,2022-05-03,0.01,2022-05-03,high,08180D10_2022_2,0.0333333333333333
70509V10,2022.0,4.0,-0.34,0.04,70509V10,PEBBLEBROOK HOTEL TRUST,Pebblebrook Hotel Trust,high,transcripts_by_company/Pebblebrook_Hotel_Trust_2022Q4.txt,2022-10-28,2022-10-27,0.1,2022-10-27,high,70509V10_2022_4,0.098
91704710,2019.0,1.0,0.8,0.8,91704710,"URBAN OUTFITTERS, INC.","Urban Outfitters, Inc.",high,transcripts_by_company/Urban_Outfitters_Inc_2019Q1.txt,2019-03-05,2019-03-05,2.72,2019-03-05,high,91704710_2019_1,0.0388888888888888
87509U10,2014.0,4.0,,0.18,87509U10,TAMINCO CORP,Taminco Corporation,high,transcripts_by_company/Taminco_Corporation_2014Q4.txt,2014-11-06,2014-11-06,0.43,2014-11-06,high,87509U10_2014_4,0.0357142857142857
44746210,2009.0,2.0,0.47,0.86,44746210,HURON CONSULTING GROUP INC,Huron Consulting Group,high,transcripts_by_company/Huron_Consulting_Group_2009Q2.txt,2009-04-30,2009-04-30,0.51,2009-04-30,high,44746210_2009_2,0.0477777777777777
30219E10,2015.0,3.0,0.25,0.12,30219E10,EXPRESS INC,Hoteles City Express SAB de CV,high,transcripts_by_company/Hoteles_City_Express_SAB_de_CV_2015Q3.txt,2015-07-23,2015-08-26,0.25,2015-08-26,high,30219E10_2015_3,0.0166666666666666
50064320,2012.0,1.0,0.26,0.36,50064320,KORN/FERRY INTERNATIONAL,Korn/Ferry International,high,transcripts_by_company/KornFerry_International_2012Q1.txt,2012-03-07,2012-03-07,0.26,2012-03-07,high,50064320_2012_1,0.02
56804Q10,2011.0,1.0,-0.12,-0.27,56804Q10,MARINA BIOTECH INC,"Marina Biotech, Inc.",high,transcripts_by_company/Marina_Biotech_Inc_2011Q1.txt,2011-03-23,2011-03-23,-1.58,2011-03-23,high,56804Q10_2011_1,0.03
12705510,2014.0,1.0,0.83,0.98,12705510,CABOT CORP,Cabot Microelectronics,high,transcripts_by_company/Cabot_Microelectronics_2014Q1.txt,2014-01-23,2014-01-29,0.86,2014-01-29,high,12705510_2014_1,0.0688888888888888
01535110,2015.0,1.0,1.28,1.23,01535110,ALEXION PHARMACEUTICALS INC,"Alexion Pharmaceuticals, Inc.",high,transcripts_by_company/Alexion_Pharmaceuticals_Inc_2015Q1.txt,2015-03-02,2015-04-23,1.28,2015-04-23,high,01535110_2015_1,0.0522222222222222
12705510,2011.0,3.0,0.53,0.77,12705510,CABOT CORP,Cabot Oil &amp; Gas Corporation,high,transcripts_by_company/Cabot_Oil_and_Gas_Corporation_2011Q3.txt,2011-07-28,2011-07-26,0.98,2011-07-26,high,12705510_2011_3,0.0555555555555555
03042010,2012.0,1.0,0.25,0.27,03042010,AMERICAN WATER WORKS COMPANY INC,"American Water Works Company, Inc.",high,transcripts_by_company/American_Water_Works_Company_Inc_2012Q1.txt,2012-02-27,2012-02-27,1.81,2012-02-27,high,03042010_2012_1,0.0277777777777777
77390310,2021.0,4.0,2.14,2.33,77390310,ROCKWELL AUTOMATION INC,"Rockwell Automation, Inc.",high,transcripts_by_company/Rockwell_Automation_Inc_2021Q4.txt,2020-11-17,2020-11-10,7.68,2020-11-10,high,77390310_2021_4,0.1611111111111111
75606N10,2016.0,3.0,0.2,0.19,75606N10,REALPAGE INC,"RealPage, Inc.",high,transcripts_by_company/RealPage_Inc_2016Q3.txt,2016-09-14,2016-11-03,0.2,2016-11-03,high,75606N10_2016_3,0.0075
87243810,2015.0,2.0,0.35,0.34,87243810,THL CREDIT INC,"THL Credit, Inc.",high,transcripts_by_company/THL_Credit_Inc_2015Q2.txt,2015-05-12,2015-05-11,0.35,2015-05-11,high,87243810_2015_2,0.01
M4613510,2015.0,1.0,-0.14,-0.18,M4613510,FOAMIX PHARMACEUTICALS LTD,Foamix Pharmaceuticals Ltd.,high,transcripts_by_company/Foamix_Pharmaceuticals_Ltd_2015Q1.txt,2015-03-18,2015-03-18,-0.11,2015-03-18,high,M4613510_2015_1,0.05
