CUSIP,fiscal_year,quarter,actual_eps,forecast_eps,cusip,eps_name,transcript_name,confidence_level,filepath,transcript_date,eps_date,eps_value,eps_date_from_mapping,confidence_level_from_mapping
74267C10,2008.0,2.0,1.36,1.19,74267C10,PROASSURANCE CORP,ProAssurance Corporation,high,transcripts_by_company/ProAssurance_Corporation_2008Q2.txt,2008-05-07,2008-05-07,1.07,2008-05-07,high
79543510,2009.0,3.0,-0.15,-0.1,79543510,SALIX PHARMACEUTICALS LTD,"Salix Pharmaceuticals, Ltd.",high,transcripts_by_company/Salix_Pharmaceuticals_Ltd_2009Q3.txt,2009-08-10,2009-08-10,-0.32,2009-08-10,high
63040210,2023.0,3.0,0.28,0.24,63040210,NAPCO SECURITY TECHNOLOGIES INC,"Napco Security Technologies, Inc.",high,transcripts_by_company/Napco_Security_Technologies_Inc_2023Q3.txt,2023-08-29,2023-08-29,0.72,2023-08-29,high
38238810,2010.0,1.0,0.86,1.06,38238810,BF GOODRICH COMPANY,Goodrich Corporation,high,transcripts_by_company/Goodrich_Corporation_2010Q1.txt,2010-01-28,2010-01-28,4.43,2010-01-28,high
50187T10,2016.0,2.0,0.96,0.8,50187T10,LGI HOMES INC,"LGI Homes, Inc.",high,transcripts_by_company/LGI_Homes_Inc_2016Q2.txt,2016-05-10,2016-05-10,0.57,2016-05-10,high
75733R60,2005.0,4.0,0.43,0.49,75733R60,REDENVELOPE INC,RedEnvelope,high,transcripts_by_company/RedEnvelope_2005Q4.txt,2005-11-01,2005-11-01,-0.39,2005-11-01,high
40011010,2019.0,1.0,0.3,0.56,40011010,GRUBHUB INC,GrubHub Inc.,high,transcripts_by_company/GrubHub_Inc_2019Q1.txt,2019-02-07,2019-02-07,1.66,2019-02-07,high
1520061X,2008.0,3.0,0.08,,1520061X,CENTERRA GOLD INC,CENTERRA GOLD INC,high,transcripts_by_company/CENTERRA_GOLD_INC_2008Q3.txt,2008-07-31,2008-07-31,0.06,2008-07-31,high
80706610,2008.0,4.0,1.72,2.09,80706610,SCHOLASTIC CORP,Scholastic,high,transcripts_by_company/Scholastic_2008Q4.txt,2008-12-18,2008-12-18,1.72,2008-12-18,high
00187Y10,2022.0,2.0,0.37,0.35,00187Y10,API GROUP CORP,APi Group Corporation,high,transcripts_by_company/APi_Group_Corporation_2022Q2.txt,2022-05-04,2022-05-04,0.23,2022-05-04,high
50187A10,2018.0,1.0,0.63,0.58,50187A10,LHC GROUP INC,"LHC Group, Inc.",high,transcripts_by_company/LHC_Group_Inc_2018Q1.txt,2018-01-11,2018-02-28,2.42,2018-02-28,high
20343H10,2005.0,1.0,0.04,,20343H10,COMMUNITY BANCSHARES INC,Dime Community Bancshares,high,transcripts_by_company/Dime_Community_Bancshares_2005Q1.txt,2005-01-26,2005-02-15,,2005-02-15,high
78129510,2012.0,1.0,0.52,0.5,78129510,RUE21 INC,rue21 Inc,high,transcripts_by_company/rue21_Inc_2012Q1.txt,2012-03-14,2012-03-14,1.55,2012-03-14,high
79014810,2013.0,4.0,0.01,0.0,79014810,ST JOE COMPANY,The St. Joe Company,high,transcripts_by_company/The_St_Joe_Company_2013Q4.txt,2013-11-07,2013-11-07,0.05,2013-11-07,high
48562P10,2017.0,4.0,0.51,0.4,48562P10,KAPSTONE PAPER AND PACKAGING COR,KapStone Paper and Packaging Corporation,high,transcripts_by_company/KapStone_Paper_and_Packaging_Corporation_2017Q4.txt,2017-10-26,2017-10-25,0.39,2017-10-25,high
P3107610,2015.0,4.0,0.73,1.92,P3107610,COPA HOLDINGS SA,"Copa Holdings, S.A.",high,transcripts_by_company/Copa_Holdings_SA_2015Q4.txt,2015-11-13,2015-11-12,0.85,2015-11-12,high
83589810,2011.0,1.0,0.03,-0.04,83589810,SOTHEBY'S,Sotheby's,high,transcripts_by_company/Sothebys_2011Q1.txt,2011-02-28,2011-02-28,2.34,2011-02-28,high
45168D10,2019.0,1.0,1.17,1.09,45168D10,IDEXX LABORATORIES INC,"IDEXX Laboratories, Inc.",high,transcripts_by_company/IDEXX_Laboratories_Inc_2019Q1.txt,2019-02-01,2019-02-01,4.26,2019-02-01,high
55295310,2010.0,4.0,-0.2,-0.21,55295310,MGM RESORTS INTERNATIONAL,MGM RESORTS INTERNATIONAL,high,transcripts_by_company/MGM_RESORTS_INTERNATIONAL_2010Q4.txt,2010-11-03,2010-11-03,-0.21,2010-11-03,high
58353810,2005.0,4.0,-0.14,-0.06,58353810,MECHANICAL TECHNOLOGY,Mechanical Technology Inc.,high,transcripts_by_company/Mechanical_Technology_Inc_2005Q4.txt,2005-11-09,2005-11-09,-0.06,2005-11-09,high
39525910,2014.0,1.0,0.01,0.47,39525910,GREENHILL & CO INC,"Greenhill &amp; Co., Inc.",high,transcripts_by_company/Greenhill_and_Co_Inc_2014Q1.txt,2014-01-28,2014-01-28,1.55,2014-01-28,high
98411710,2006.0,1.0,-0.04,,98411710,XENONICS HOLDINGS,"Xenonics Holdings, Inc.",high,transcripts_by_company/Xenonics_Holdings_Inc_2006Q1.txt,2006-02-13,2006-02-13,-0.04,2006-02-13,high
90470810,2003.0,3.0,0.37,0.38,90470810,UNIFIRST CORP,UniFirst Corporation,high,transcripts_by_company/UniFirst_Corporation_2003Q3.txt,2003-07-07,2003-07-07,0.5,2003-07-07,high
12950010,2019.0,1.0,0.38,0.55,12950010,CALERES INC,"Caleres, Inc.",high,transcripts_by_company/Caleres_Inc_2019Q1.txt,2019-03-21,2019-03-21,2.21,2019-03-21,high
50212A10,2010.0,2.0,-0.03,0.01,50212A10,L-1 IDENTITY SOLUTIONS INC,"L-1 Identity Solutions, Inc.",high,transcripts_by_company/L-1_Identity_Solutions_Inc_2010Q2.txt,2010-05-05,2010-05-05,-0.09,2010-05-05,high
64118P10,2008.0,1.0,-0.03,-0.13,64118P10,NETLIST INC,"Netlist, Inc.",high,transcripts_by_company/Netlist_Inc_2008Q1.txt,2008-02-28,2008-02-28,-0.38,2008-02-28,high
04622410,2010.0,4.0,0.26,0.17,04622410,ASTEC INDUSTRIES INC,"Astec Industries, Inc.",high,transcripts_by_company/Astec_Industries_Inc_2010Q4.txt,2010-10-19,2010-10-19,0.32,2010-10-19,high
30230110,2016.0,4.0,0.15,0.13,30230110,EZCORP INC,EZCORP Inc,high,transcripts_by_company/EZCORP_Inc_2016Q4.txt,2016-12-08,2016-12-07,-1.49,2016-12-07,high
M8411610,2019.0,3.0,0.34,0.81,M8411610,SILICOM LIMITED,Silicom Ltd.,high,transcripts_by_company/Silicom_Ltd_2019Q3.txt,2019-07-25,2019-07-25,0.38,2019-07-25,high
09972410,2003.0,2.0,1.65,1.8,09972410,BORGWARNER INC,BorgWarner,high,transcripts_by_company/BorgWarner_2003Q2.txt,2003-04-22,2003-04-22,1.65,2003-04-22,high
53217V10,2010.0,1.0,0.87,0.78,53217V10,LIFE TECHNOLOGIES CORP,"Synovis Life Technologies, Inc.",high,transcripts_by_company/Synovis_Life_Technologies_Inc_2010Q1.txt,2010-02-24,2010-04-27,0.87,2010-04-27,high
39947310,2013.0,4.0,0.04,0.06,39947310,GROUPON INC,Groupon Inc,high,transcripts_by_company/Groupon_Inc_2013Q4.txt,2013-11-07,2013-11-07,0.02,2013-11-07,high
85856G10,2008.0,4.0,-0.04,0.39,85856G10,STELLARONE CORP,StellarOne Corporation,high,transcripts_by_company/StellarOne_Corporation_2008Q4.txt,2008-10-29,2008-10-29,0.11,2008-10-29,high
30230110,2013.0,3.0,0.43,0.78,30230110,EZCORP INC,"EZCORP, Inc.",high,transcripts_by_company/EZCORP_Inc_2013Q3.txt,2013-07-30,2013-07-30,0.49,2013-07-30,high
