transcript_name,eps_name,confidence,transcript_filepath,eps_value
"The Great Atlantic &amp; Pacific Tea Co., Inc.",GREAT ATLANTIC & PAC TEA INC,90.9090909090909,transcripts_by_company/The_Great_Atlantic_and_Pacific_Tea_Co_Inc_2001Q3.txt,-0.19
Apogee Enterprises,APOGEE ENTERPRISES INC,100.0,transcripts_by_company/Apogee_Enterprises_2007Q4.txt,0.91
WD-40,WD 40 CO,100.0,transcripts_by_company/WD-40_2002Q1.txt,0.41
WD-40 Company,WD 40 CO,100.0,transcripts_by_company/WD-40_Company_2007Q3.txt,0.32
Meredith Corporation,MEREDITH CORP,100.0,transcripts_by_company/Meredith_Corporation_2007Q2.txt,1.43
Meredith,MEREDITH CORP,100.0,transcripts_by_company/Meredith_2023Q1.txt,0.32
Datascope,DATASCOPE CORP,100.0,transcripts_by_company/Datascope_2005Q2.txt,0.4
FedEx Express,FEDEX CORP,100.0,transcripts_by_company/FedEx_Express_2002Q1.txt,0.39
FedEx Corp,FEDEX CORP,100.0,transcripts_by_company/FedEx_Corp_2006Q2.txt,2.39
Veritas DCG Inc.,COMPAGNIE GEN DE GEOPHYS VERITAS,77.77777777777777,transcripts_by_company/The_Great_Atlantic_and_Pacific_Tea_Co_Inc_2001Q3.txt,0.15
Rayonier Inc.,RAYONIER ADVANCED MATERIALS INC,100.0,transcripts_by_company/Rayonier_Inc_2022Q4.txt,0.53
Independence Community Bank Corp,INDEPENDENCE COMMUNITY BANK,100.0,transcripts_by_company/Independence_Community_Bank_Corp_2002Q3.txt,0.57
Independence Community Bank,INDEPENDENCE COMMUNITY BANK,100.0,transcripts_by_company/Independence_Community_Bank_2005Q1.txt,0.59
Kimball International,KIMBALL INTERNATIONAL INC,100.0,transcripts_by_company/Kimball_International_2007Q2.txt,0.2
CenterPoint Properties Trust,CENTERPOINT PROPERTIES CORP.,100.0,transcripts_by_company/Centerpoint_Properties_Trust_2005Q4.txt,
"Mercury Computer Systems, Incorporated",MERCURY COMPUTER SYSTEMS,100.0,transcripts_by_company/Mercury_Computer_Systems_Incorporated_2002Q2.txt,0.12
PRINCIPAL FINANCIAL GROUP,PRINCIPAL FINANCIAL GROUP INC,100.0,transcripts_by_company/Principal_Financial_Group_2007Q3.txt,1.96
Applebee&amp;quot;s International,APPLEBEES INTERNATIONAL INC,90.19607843137254,transcripts_by_company/Applebeeandquots_International_2002Q2.txt,0.53
"Carlisle Companies, Inc.",CARLISLE COMPANIES INC,100.0,transcripts_by_company/Carlisle_Companies_Inc_2017Q1.txt,0.42
Maverick Tube Corporation,MAVERICK TUBE CORP,100.0,transcripts_by_company/Maverick_Tube_Corporation_2006Q2.txt,0.02
ArvinMeritor,ARVINMERITOR INC,100.0,transcripts_by_company/ArvinMeritor_2006Q4.txt,0.85
Cincinnati Financial,CINCINNATI FINANCIAL CORP,100.0,transcripts_by_company/Cincinnati_Financial_2007Q2.txt,0.25
Harris Interactive,HARRIS CORP,100.0,transcripts_by_company/Harris_Interactive_2007Q3.txt,0.3
Health Care REIT,HEALTH CARE REIT INC,100.0,transcripts_by_company/NDCHealth_Corp_2002Q1.txt,0.36
"Apogee Enterprises, Inc.",APOGEE ENTERPRISES INC,100.0,transcripts_by_company/Apogee_Enterprises_Inc_2007Q2.txt,0.3
IDEX CORP.,IDEX BIOMETRICS ASA,100.0,transcripts_by_company/FedEx_Corp_2006Q2.txt,
Apogent,APOGENT TECHNOLOGIES,100.0,transcripts_by_company/Apogent_2002Q3.txt,0.33
