Cusip,Company_Name,Ticker,Eps-actual,eps_forecast,anndats,transcript_date
88025U10,10X GENOMICS INC,TXG,-0.8,-0.37,2020-02-18,2020-02-18
88025U10,10X GENOMICS INC,TXG,-0.41,-0.55,2020-08-11,2020-08-11
88025U10,10X GENOMICS INC,TXG,-0.65,-0.3,2020-11-10,2020-11-10
88025U10,10X GENOMICS INC,TXG,-5.37,-1.43,2021-02-17,2021-02-17
88025U10,10X GENOMICS INC,TXG,-0.11,-0.25,2021-05-05,2021-05-05
88025U10,10X GENOMICS INC,TXG,-0.1,-0.24,2021-08-04,2021-08-04
88025U10,10X GENOMICS INC,TXG,-0.53,-0.43,2022-02-16,2022-02-16
88025U10,10X GENOMICS INC,TXG,-0.38,-0.31,2022-05-04,2022-05-04
88025U10,10X GENOMICS INC,TXG,-0.37,-0.46,2022-11-02,2022-11-02
88025U10,10X GENOMICS INC,TXG,-1.46,-1.62,2023-02-15,2023-02-15
88025U10,10X GENOMICS INC,TXG,-0.44,-0.36,2023-05-03,2023-05-03
88025U10,10X GENOMICS INC,TXG,-0.79,-0.47,2023-11-02,2023-11-02
68247Q10,111 INC,YI,-6.61,-3.58,2019-03-07,2019-03-07
68247Q10,111 INC,YI,-5.3,-2.31,2020-03-12,2020-03-12
68247Q10,111 INC,YI,-4.62,-2.31,2021-03-18,2021-03-18
68247Q10,111 INC,YI,-6.32,-3.85,2022-03-17,2022-03-17
68243Q10,1-800-FLOWERS.COM INC,FLWS,-0.02,-0.04,2002-08-07,2002-08-07
68243Q10,1-800-FLOWERS.COM INC,FLWS,-0.11,-0.11,2002-10-22,2002-10-22
68243Q10,1-800-FLOWERS.COM INC,FLWS,0.15,0.15,2003-01-22,2003-01-22
68243Q10,1-800-FLOWERS.COM INC,FLWS,0.02,0.02,2003-04-22,2003-04-22
68243Q10,1-800-FLOWERS.COM INC,FLWS,0.18,0.18,2003-08-06,2003-08-06
68243Q10,1-800-FLOWERS.COM INC,FLWS,-0.08,-0.09,2003-10-23,2003-10-23
68243Q10,1-800-FLOWERS.COM INC,FLWS,0.2,0.2,2004-01-20,2004-01-20
68243Q10,1-800-FLOWERS.COM INC,FLWS,0.03,0.03,2004-04-22,2004-04-22
68243Q10,1-800-FLOWERS.COM INC,FLWS,0.31,0.3,2004-08-05,2004-08-05
68243Q10,1-800-FLOWERS.COM INC,FLWS,-0.04,-0.04,2004-10-21,2004-10-21
68243Q10,1-800-FLOWERS.COM INC,FLWS,0.13,0.15,2005-01-18,2005-01-18
68243Q10,1-800-FLOWERS.COM INC,FLWS,-0.03,0.0,2005-04-21,2005-04-21
68243Q10,1-800-FLOWERS.COM INC,FLWS,0.12,0.12,2005-08-11,2005-08-11
68243Q10,1-800-FLOWERS.COM INC,FLWS,-0.1,-0.1,2005-10-27,2005-10-27
68243Q10,1-800-FLOWERS.COM INC,FLWS,0.16,0.2,2006-01-26,2006-01-26
68243Q10,1-800-FLOWERS.COM INC,FLWS,-0.02,-0.01,2006-04-27,2006-04-27
68243Q10,1-800-FLOWERS.COM INC,FLWS,0.06,0.11,2006-08-10,2006-08-10
68243Q10,1-800-FLOWERS.COM INC,FLWS,-0.11,-0.12,2006-10-26,2006-10-26
68243Q10,1-800-FLOWERS.COM INC,FLWS,0.26,0.25,2007-01-24,2007-01-24
68243Q10,1-800-FLOWERS.COM INC,FLWS,0.02,0.0,2007-04-26,2007-04-26
68243Q10,1-800-FLOWERS.COM INC,FLWS,0.26,0.24,2007-08-08,2007-08-08
68243Q10,1-800-FLOWERS.COM INC,FLWS,-0.09,-0.09,2007-10-23,2007-10-23
68243Q10,1-800-FLOWERS.COM INC,FLWS,0.29,0.28,2008-01-24,2008-01-24
68243Q10,1-800-FLOWERS.COM INC,FLWS,0.05,0.04,2008-04-24,2008-04-24
68243Q10,1-800-FLOWERS.COM INC,FLWS,0.32,0.3,2008-08-07,2008-08-07
68243Q10,1-800-FLOWERS.COM INC,FLWS,-0.08,-0.1,2008-10-23,2008-10-23
68243Q10,1-800-FLOWERS.COM INC,FLWS,0.23,0.35,2009-01-29,2009-01-29
68243Q10,1-800-FLOWERS.COM INC,FLWS,-0.06,-0.03,2009-04-30,2009-04-30
68243Q10,1-800-FLOWERS.COM INC,FLWS,0.05,0.1,2009-08-20,2009-08-20
68243Q10,1-800-FLOWERS.COM INC,FLWS,-0.09,-0.1,2009-10-22,2009-10-22
68243Q10,1-800-FLOWERS.COM INC,FLWS,0.2,0.22,2010-01-28,2010-01-28
68243Q10,1-800-FLOWERS.COM INC,FLWS,-0.09,-0.02,2010-04-28,2010-04-28
68243Q10,1-800-FLOWERS.COM INC,FLWS,0.01,0.02,2010-08-19,2010-08-19
