ticker,period,eps_actual,eps_forecast,eps_std,sue,transcript_path,cosine,nnw
ITC HOLDINGS CORP,1.0,0.44,1.27,,,transcripts_by_company/ITC_Holdings_Corp_2014Q1.txt,0.5618024468421936,0.4381975531578064
DSP GROUP INC,3.0,0.26,0.38,,,transcripts_by_company/DSP_Group_Inc_2007Q3.txt,0.5096574425697327,0.49034255743026733
51JOB INC,4.0,0.61,0.58,,,transcripts_by_company/51job_Inc_2011Q4.txt,0.4755498468875885,0.5244501531124115
1ST UNITED BANCORP INC,4.0,0.03,0.05,,,transcripts_by_company/1st_United_Bancorp_Inc_2011Q4.txt,0.4700028896331787,0.5299971103668213
MDU RESOURCES GROUP INC,1.0,0.17,0.23,,,transcripts_by_company/MDU_Resources_Group_Inc_2016Q1.txt,0.5024250745773315,0.49757492542266846
INTERSIL CORPORATION,4.0,0.2,0.18,,,transcripts_by_company/Intersil_Corporation_2015Q4.txt,0.46893176436424255,0.5310682356357574
HENRY JACK & ASSOCIATES,2.0,0.35,0.37,,,transcripts_by_company/Jack_Henry_and_Associates_2010Q2.txt,0.5377671718597412,0.4622328281402588
WIND RIVER SYSTEMS INC,3.0,0.07,0.05,,,transcripts_by_company/Wind_River_Systems_2005Q3.txt,0.5963343381881714,0.4036656618118286
ECOPETROL SA,4.0,0.03,0.33,,,transcripts_by_company/Ecopetrol_SA_2016Q4.txt,0.5376200079917908,0.46237999200820923
DYCOM INDUSTRIES INC,4.0,0.15,0.19,,,transcripts_by_company/Dycom_Industries_Inc_2009Q4.txt,0.527678370475769,0.47232162952423096
AVALONBAY COMMUNITIES INC,1.0,0.6,0.67,,,transcripts_by_company/Avalonbay_Communities_2008Q1.txt,0.48361656069755554,0.5163834393024445
MSA SAFETY INC,2.0,1.22,1.2,,,transcripts_by_company/MSA_Safety_Incorporated_2019Q2.txt,0.4765334725379944,0.5234665274620056
HUMANA INC,2.0,0.51,0.52,,,transcripts_by_company/Humana_Inc_2005Q2.txt,0.47807809710502625,0.5219219028949738
MEDIACOM COMMUNICATIONS CORP,4.0,0.06,-0.2,,,transcripts_by_company/Mediacom_Communications_2003Q4.txt,0.4733427166938782,0.5266572833061218
ABM INDUSTRIES INC,3.0,0.51,0.54,,,transcripts_by_company/ABM_Industries_Incorporated_2017Q3.txt,0.5603964328765869,0.4396035671234131
OMNICELL INC,3.0,0.6,0.82,,,transcripts_by_company/Omnicell_Inc_2020Q3.txt,0.5088931918144226,0.4911068081855774
MANHATTAN ASSOCIATES INC,4.0,0.46,0.35,,,transcripts_by_company/Manhattan_Associates_Inc_2018Q4.txt,0.5154433250427246,0.4845566749572754
HIMS & HERS HEALTH INC,2.0,-0.1,-0.03,,,transcripts_by_company/Hims_and_Hers_Health_Inc_2022Q2.txt,0.4710019528865814,0.5289980471134186
AMERICAN VANGUARD CORP,1.0,0.03,0.12,,,transcripts_by_company/American_Vanguard_2009Q1.txt,0.5302504897117615,0.4697495102882385
CASH SYSTEMS INC,1.0,-0.07,-0.02,,,transcripts_by_company/Cash_Systems_Inc_2006Q1.txt,0.5905815958976746,0.40941840410232544
ALPHATEC HOLDINGS INC,3.0,-0.02,0.0,,,transcripts_by_company/Alphatec_Spine_Inc_2012Q3.txt,0.48991841077804565,0.5100815892219543
UNDER ARMOUR INC,3.0,0.41,0.42,,,transcripts_by_company/Under_Armour_Inc_2014Q3.txt,0.4161522090435028,0.5838477909564972
LEAR CORP,1.0,3.73,2.97,,,transcripts_by_company/Lear_Corporation_2021Q1.txt,0.5433864593505859,0.45661354064941406
HUB GROUP INC,1.0,0.58,0.41,,,transcripts_by_company/Hub_Group_Inc_2016Q1.txt,0.4593248665332794,0.5406751334667206
TECHNE CORP,2.0,0.88,0.87,,,transcripts_by_company/Techne_Corporation_2014Q2.txt,0.5687446594238281,0.4312553405761719
SVB FINANCIAL GROUP,2.0,1.06,0.88,,,transcripts_by_company/SVB_Financial_Group_2013Q2.txt,0.4380038380622864,0.5619961619377136
CEPHEID INC,3.0,-0.32,-0.12,,,transcripts_by_company/Cepheid_2015Q3.txt,0.44577741622924805,0.554222583770752
JABIL CIRCUIT INC,3.0,0.62,0.59,,,transcripts_by_company/Jabil_Circuit_Inc_2011Q3.txt,0.45189589262008667,0.5481041073799133
ESSENTIAL PROPERTIES REALTY TRUS,4.0,0.05,0.15,,,transcripts_by_company/Essential_Properties_Realty_Trust_Inc_2020Q4.txt,0.5305986404418945,0.46940135955810547
TRICON RESIDENTIAL INC,2.0,0.16,0.12,,,transcripts_by_company/Tricon_Residential_Inc_2023Q2.txt,0.5235036015510559,0.4764963984489441
ECOLAB INC,2.0,0.56,0.56,,,transcripts_by_company/Ecolab_Inc_2010Q2.txt,0.4551323354244232,0.5448676645755768
US UNWIRED INC,4.0,-0.07,-0.04,,,transcripts_by_company/US_Unwired_2004Q4.txt,0.5706331133842468,0.4293668866157532
TRIPLE-S MANAGEMENT CORP,2.0,-1.62,0.38,,,transcripts_by_company/Triple-S_Management_Corporation_2018Q2.txt,0.45862194895744324,0.5413780510425568
CHUBB CORP,3.0,0.89,1.94,,,transcripts_by_company/Chubb_Corporation_2005Q3.txt,0.621300995349884,0.37869900465011597
CHRISTOPHER & BANKS CORP,1.0,-0.26,-0.12,,,transcripts_by_company/Christopher_and_Banks_Corporation_2019Q1.txt,0.5149012804031372,0.4850987195968628
PIEDMONT OFFICE REALTY TRUST INC,3.0,-0.09,0.08,,,transcripts_by_company/Piedmont_Office_Realty_Trust_Inc_2016Q3.txt,0.4677923917770386,0.5322076082229614
COMMUNITY HEALTHCARE TRUST INC,1.0,0.21,0.27,,,transcripts_by_company/Community_Healthcare_Trust_Incorporated_2022Q1.txt,0.46731966733932495,0.532680332660675
CENTRAL EUROPEAN MEDIA ENTERPRIS,4.0,0.64,1.25,,,transcripts_by_company/Central_European_Media_Enterprises_Ltd_2006Q4.txt,0.42726296186447144,0.5727370381355286
HUMANA INC,2.0,0.37,0.32,,,transcripts_by_company/Humana_2003Q2.txt,0.4915398359298706,0.5084601640701294
PENSON WORLDWIDE INC,1.0,-0.94,0.02,,,transcripts_by_company/Penson_Worldwide_Inc_2012Q1.txt,0.5886936187744141,0.41130638122558594
MAXLINEAR INC,4.0,0.86,0.57,,,transcripts_by_company/MaxLinear_Inc_2021Q4.txt,0.47807076573371887,0.5219292342662811
MICROTUNE,4.0,0.02,-0.01,,,transcripts_by_company/Microtune_Inc_2009Q4.txt,0.5013039708137512,0.4986960291862488
NXSTAGE MEDICAL INC,1.0,-0.09,-0.09,,,transcripts_by_company/NxStage_Medical_Inc_2015Q1.txt,0.5158745050430298,0.4841254949569702
RETAIL OPPORTUNITY INVESTMENTS C,3.0,0.06,0.08,,,transcripts_by_company/Retail_Opportunity_Investments_Corp_2020Q3.txt,0.6306443810462952,0.36935561895370483
CRYOLIFE INC,1.0,0.04,0.1,,,transcripts_by_company/CryoLife_Inc_2014Q1.txt,0.46638551354408264,0.5336144864559174
ENTEGRIS INC,4.0,-0.14,0.1,,,transcripts_by_company/Entegris_2008Q4.txt,0.49541351199150085,0.5045864880084991
RESMED INC,2.0,0.41,0.45,,,transcripts_by_company/ResMed_Inc_2007Q2.txt,0.5743878483772278,0.4256121516227722
MARCHEX INC,3.0,0.11,0.08,,,transcripts_by_company/Marchex_Inc_2008Q3.txt,0.5486539602279663,0.4513460397720337
AIMMUNE THERAPEUTICS INC,4.0,-0.95,-0.91,,,transcripts_by_company/Aimmune_Therapeutics_Inc_2018Q4.txt,0.4024621844291687,0.5975378155708313
RELIANCE INC,1.0,2.14,1.06,,,transcripts_by_company/Reliance_Steel_2006Q1.txt,0.5168324112892151,0.4831675887107849
FIVERR INTERNATIONAL LTD,4.0,0.56,0.41,,,transcripts_by_company/Fiverr_International_Ltd_CurrentQ4.txt,0.4711015820503235,0.5288984179496765
PVH CORP,1.0,1.18,1.0,,,transcripts_by_company/PVH_Corp_2012Q1.txt,0.5720351338386536,0.42796486616134644
SAPIENT CORP,1.0,0.06,0.11,,,transcripts_by_company/Sapient_Corporation_2013Q1.txt,0.5505914688110352,0.44940853118896484
MASTEC INC,4.0,1.07,0.9,,,transcripts_by_company/Mastek_Limited_2018Q4.txt,0.5465810894966125,0.45341891050338745
SEMTECH CORP,3.0,0.35,0.3,,,transcripts_by_company/Semtech_Corporation_2016Q3.txt,0.4818545877933502,0.5181454122066498
MICROSEMI CORP,2.0,0.34,0.34,,,transcripts_by_company/MTI_MicroFuel_Cells_2008Q2.txt,0.4868931174278259,0.5131068825721741
CBS CORP,3.0,0.25,0.24,,,transcripts_by_company/CBS_Corporation_2009Q3.txt,0.48097527027130127,0.5190247297286987
NETGEAR INC,3.0,0.76,0.68,,,transcripts_by_company/NETGEAR_Inc_2016Q3.txt,0.45292016863822937,0.5470798313617706
TERRAN ORBITAL CORP,1.0,-0.24,-0.13,,,transcripts_by_company/Terran_Orbital_Corporation_2023Q1.txt,0.4592269957065582,0.5407730042934418
GIBRALTAR INDUSTRIES INC,2.0,0.66,0.69,,,transcripts_by_company/Gibraltar_Industries_Inc_2006Q2.txt,0.5052189826965332,0.4947810173034668
ORION SA,4.0,0.4,0.24,,,transcripts_by_company/Orion_Oyj_2020Q4.txt,0.4318798780441284,0.5681201219558716
COGENT COMMUNICATIONS HOLDINGS I,2.0,0.02,0.1,,,transcripts_by_company/Cogent_Communications_Holdings_Inc_2015Q2.txt,0.4853934645652771,0.5146065354347229
ANAREN INC,1.0,0.22,0.14,,,transcripts_by_company/Anaren_Inc_2006Q1.txt,0.5009488463401794,0.49905115365982056
CORVEL CORPORATION,3.0,0.62,0.63,,,transcripts_by_company/CorVel_Corporation_2010Q3.txt,0.5285599827766418,0.47144001722335815
SYNOVUS FINANCIAL CORP,1.0,0.84,0.64,,,transcripts_by_company/Synovus_Financial_Corp_2018Q1.txt,0.5287750959396362,0.47122490406036377
GLOBALSTAR INC,3.0,-0.06,-0.06,,,transcripts_by_company/Globalstar_Inc_2011Q3.txt,0.512739360332489,0.487260639667511
AEHR TEST SYSTEMS,3.0,0.09,0.07,,,transcripts_by_company/Aehr_Test_Systems_2006Q3.txt,0.527962863445282,0.472037136554718
VUZIX CORP,4.0,-0.17,-0.15,,,transcripts_by_company/Vuzix_Corporation_2022Q4.txt,0.5829811096191406,0.4170188903808594
TRAFFIC.COM INC,3.0,-0.31,-0.28,,,transcripts_by_company/Trafficcom_2006Q3.txt,0.5063238143920898,0.49367618560791016
"PENNEY, JC",3.0,0.75,0.55,,,transcripts_by_company/JC_Penney_Corporation_Inc_2006Q3.txt,0.5021472573280334,0.49785274267196655
MID-AMERICA APARTMENT COMMUNITIE,2.0,0.65,0.59,,,transcripts_by_company/Mid-America_Apartment_Communities_Inc_2020Q2.txt,0.5111878514289856,0.4888121485710144
MCGRATH RENTCORP,1.0,0.31,0.42,,,transcripts_by_company/McGrath_Rentcorp_2006Q1.txt,0.48107874393463135,0.5189212560653687
DOVER CORP,4.0,1.54,1.53,,,transcripts_by_company/Dover_Motorsports_Inc_2019Q4.txt,0.5478125810623169,0.4521874189376831
CHIMERIX INC,1.0,-0.28,-0.28,,,transcripts_by_company/Chimerix_Inc_2022Q1.txt,0.5593428611755371,0.4406571388244629
SYMYX TECHNOLOGIES INC,4.0,-0.1,0.08,,,transcripts_by_company/Symyx_Technologies_Inc_2007Q4.txt,0.5355349183082581,0.46446508169174194
PLANAR SYSTEMS INCORPORATED,1.0,0.05,0.29,,,transcripts_by_company/Planar_Systems_2004Q1.txt,0.5468584895133972,0.4531415104866028
EXACT SCIENCES CORP,4.0,-0.08,-0.07,,,transcripts_by_company/EXACT_Sciences_Corporation_2010Q4.txt,0.49894943833351135,0.5010505616664886
RYANAIR HOLDINGS PLC,4.0,0.33,0.28,,,transcripts_by_company/Ryanair_2002Q4.txt,0.4726356267929077,0.5273643732070923
CHECKPOINT SYSTEMS INC,1.0,0.1,0.02,,,transcripts_by_company/Checkpoint_Systems_2010Q1.txt,0.5579254031181335,0.44207459688186646
SCANSOURCE INC,2.0,0.52,0.46,,,transcripts_by_company/ScanSource_Inc_2010Q2.txt,0.49276262521743774,0.5072373747825623
TEXAS CAPITAL BANCSHARES INC,2.0,0.22,0.33,,,transcripts_by_company/Texas_Capital_Bancshares_Inc_2008Q2.txt,0.4260867238044739,0.5739132761955261
KULICKE & SOFFA INDS INC,4.0,0.38,0.09,,,transcripts_by_company/Kulicke_and_Soffa_2005Q4.txt,0.4713892936706543,0.5286107063293457
MRC GLOBAL INC,3.0,0.42,0.27,,,transcripts_by_company/MRC_Global_Inc_2022Q3.txt,0.4426038861274719,0.5573961138725281
RESMED INC,2.0,0.68,0.71,,,transcripts_by_company/ResMed_Inc_2015Q2.txt,0.4464113116264343,0.5535886883735657
JOINT CORP,2.0,-0.26,-0.27,,,transcripts_by_company/The_Joint_Corp_2016Q2.txt,0.5094726085662842,0.4905273914337158
ENGINEERED SUPPORT SYS INC,3.0,0.72,0.49,,,transcripts_by_company/Engineered_Support_Systems_2003Q3.txt,0.5227236747741699,0.4772763252258301
POST HOLDINGS INC,3.0,1.39,1.4,,,transcripts_by_company/Post_Holdings_Inc_2019Q3.txt,0.5493814945220947,0.4506185054779053
MARATHON OIL CORP,3.0,0.61,0.67,,,transcripts_by_company/Marathon_Oil_Corporation_2009Q3.txt,0.4737774133682251,0.5262225866317749
CORE SCIENTIFIC INC,2.0,-0.02,0.2,,,transcripts_by_company/Sequent_Scientific_Limited_2022Q2.txt,0.5299643278121948,0.4700356721878052
INVESCO HOLDING COMPANY LTD,2.0,0.63,0.67,,,transcripts_by_company/Invesco_Ltd_2015Q2.txt,0.4897359609603882,0.5102640390396118
CORNING INC,2.0,0.53,0.43,,,transcripts_by_company/Owens_Corning_2021Q2.txt,0.501112699508667,0.498887300491333
EVEREST GROUP LTD,4.0,9.12,7.52,,,transcripts_by_company/Everest_Re_Group_Ltd_2021Q4.txt,0.49126970767974854,0.5087302923202515
GEOPARK HOLDINGS LTD,1.0,0.51,1.1,,,transcripts_by_company/GeoPark_Limited_2022Q1.txt,0.5109226107597351,0.4890773892402649
EVERI HOLDINGS INC,4.0,0.12,0.27,,,transcripts_by_company/Everi_Holdings_Inc_CurrentQ4.txt,0.5155220627784729,0.4844779372215271
CLOUD PEAK ENERGY INC,1.0,0.38,0.35,,,transcripts_by_company/Cloud_Peak_Energy_Inc_2010Q1.txt,0.5802760124206543,0.4197239875793457
HUMAN GENOME SCIENCES INCORPORAT,2.0,-0.47,-0.47,,,transcripts_by_company/Human_Genome_Sciences_Inc_2006Q2.txt,0.47267675399780273,0.5273232460021973
AMERICAN STATES WATER CO,4.0,0.3,0.41,,,transcripts_by_company/Amica_Mature_Lifestyles_Inc_2013Q4.txt,0.4145035743713379,0.5854964256286621
RSP PERMIAN INC,3.0,0.15,0.14,,,transcripts_by_company/RSP_Permian_Inc_2015Q3.txt,0.5848245024681091,0.41517549753189087
COGO GROUP INC,2.0,0.19,0.17,,,transcripts_by_company/Cogo_Group_Inc_2010Q2.txt,0.44173139333724976,0.5582686066627502
SERVICENOW INC,1.0,1.05,0.9,,,transcripts_by_company/ServiceNow_Inc_2020Q1.txt,0.45874089002609253,0.5412591099739075
DENTSPLY INTERNATIONAL INC,2.0,0.69,0.68,,,transcripts_by_company/DENTSPLY_International_Inc_2005Q2.txt,0.4980623424053192,0.5019376575946808
AMERICAN ELECTRIC POWER COMPANY,3.0,1.43,1.48,,,transcripts_by_company/American_Electric_Power_Company_Inc_2021Q3.txt,0.544989287853241,0.45501071214675903
CEVA INC,3.0,0.2,0.23,,,transcripts_by_company/CEVA_Logistics_AG_2022Q3.txt,0.48416945338249207,0.5158305466175079
NETSCOUT SYSTEMS INC,3.0,0.39,0.44,,,transcripts_by_company/NetScout_Systems_Inc_2016Q3.txt,0.5230982303619385,0.4769017696380615
TEXTAINER GROUP HOLDINGS LTD,3.0,0.22,0.37,,,transcripts_by_company/Textainer_Group_Holdings_Limited_2019Q3.txt,0.5084356069564819,0.49156439304351807
RADIOSHACK CORPORATION,1.0,0.3,0.32,,,transcripts_by_company/RadioShack_Corporation_2008Q1.txt,0.5002101063728333,0.49978989362716675
INTERCONTINENTAL EXCHANGE INC,2.0,3.43,3.53,,,transcripts_by_company/Intercontinental_Exchange_Inc_2016Q2.txt,0.5438377261161804,0.4561622738838196
ALIGHT INC,3.0,0.12,0.14,,,transcripts_by_company/Elsight_Limited_2022Q3.txt,0.5703368186950684,0.42966318130493164
FORRESTER RESEARCH INC,3.0,0.31,0.32,,,transcripts_by_company/Forrester_Research_2008Q3.txt,0.5394645929336548,0.4605354070663452
OPENTV CORPORATION,3.0,-0.24,-0.04,,,transcripts_by_company/OpenTV_2002Q3.txt,0.4982732832431793,0.5017267167568207
SFL CORPORATION LTD,3.0,0.39,0.26,,,transcripts_by_company/Scales_Corporation_Limited_2022Q3.txt,0.5375745296478271,0.46242547035217285
