ticker,period,eps_actual,eps_forecast,eps_std,sue,transcript_path,cosine,nnw
PROASSURANCE CORP,2.0,1.36,1.19,,,transcripts_by_company/ProAssurance_Corporation_2008Q2.txt,0.5023365020751953,0.4976634979248047
SALIX PHARMACEUTICALS LTD,3.0,-0.15,-0.1,,,transcripts_by_company/Salix_Pharmaceuticals_Ltd_2009Q3.txt,0.588699996471405,0.41130000352859497
NAPCO SECURITY TECHNOLOGIES INC,3.0,0.28,0.24,,,transcripts_by_company/Napco_Security_Technologies_Inc_2023Q3.txt,0.5250786542892456,0.4749213457107544
BF GOODRICH COMPANY,1.0,0.86,1.06,,,transcripts_by_company/Goodrich_Corporation_2010Q1.txt,0.4893938899040222,0.5106061100959778
LGI HOMES INC,2.0,0.96,0.8,,,transcripts_by_company/LGI_Homes_Inc_2016Q2.txt,0.49447134137153625,0.5055286586284637
REDENVELOPE INC,4.0,0.43,0.49,,,transcripts_by_company/RedEnvelope_2005Q4.txt,0.5369767546653748,0.46302324533462524
GRUBHUB INC,1.0,0.3,0.56,,,transcripts_by_company/GrubHub_Inc_2019Q1.txt,0.474364310503006,0.525635689496994
SCHOLASTIC CORP,4.0,1.72,2.09,,,transcripts_by_company/Scholastic_2008Q4.txt,0.5690712332725525,0.4309287667274475
API GROUP CORP,2.0,0.37,0.35,,,transcripts_by_company/APi_Group_Corporation_2022Q2.txt,0.5110316872596741,0.4889683127403259
LHC GROUP INC,1.0,0.63,0.58,,,transcripts_by_company/LHC_Group_Inc_2018Q1.txt,0.42470410466194153,0.5752958953380585
RUE21 INC,1.0,0.52,0.5,,,transcripts_by_company/rue21_Inc_2012Q1.txt,0.46745193004608154,0.5325480699539185
ST JOE COMPANY,4.0,0.01,0.0,,,transcripts_by_company/The_St_Joe_Company_2013Q4.txt,0.4869304895401001,0.5130695104598999
KAPSTONE PAPER AND PACKAGING COR,4.0,0.51,0.4,,,transcripts_by_company/KapStone_Paper_and_Packaging_Corporation_2017Q4.txt,0.5735620856285095,0.4264379143714905
COPA HOLDINGS SA,4.0,0.73,1.92,,,transcripts_by_company/Copa_Holdings_SA_2015Q4.txt,0.4574110209941864,0.5425889790058136
SOTHEBY'S,1.0,0.03,-0.04,,,transcripts_by_company/Sothebys_2011Q1.txt,0.6005192995071411,0.3994807004928589
IDEXX LABORATORIES INC,1.0,1.17,1.09,,,transcripts_by_company/IDEXX_Laboratories_Inc_2019Q1.txt,0.523393452167511,0.476606547832489
MGM RESORTS INTERNATIONAL,4.0,-0.2,-0.21,,,transcripts_by_company/MGM_RESORTS_INTERNATIONAL_2010Q4.txt,0.42573317885398865,0.5742668211460114
MECHANICAL TECHNOLOGY,4.0,-0.14,-0.06,,,transcripts_by_company/Mechanical_Technology_Inc_2005Q4.txt,0.49617770314216614,0.5038222968578339
GREENHILL & CO INC,1.0,0.01,0.47,,,transcripts_by_company/Greenhill_and_Co_Inc_2014Q1.txt,0.5068151354789734,0.4931848645210266
UNIFIRST CORP,3.0,0.37,0.38,,,transcripts_by_company/UniFirst_Corporation_2003Q3.txt,0.49979886412620544,0.5002011358737946
CALERES INC,1.0,0.38,0.55,,,transcripts_by_company/Caleres_Inc_2019Q1.txt,0.46903225779533386,0.5309677422046661
L-1 IDENTITY SOLUTIONS INC,2.0,-0.03,0.01,,,transcripts_by_company/L-1_Identity_Solutions_Inc_2010Q2.txt,0.48029807209968567,0.5197019279003143
NETLIST INC,1.0,-0.03,-0.13,,,transcripts_by_company/Netlist_Inc_2008Q1.txt,0.475544810295105,0.524455189704895
ASTEC INDUSTRIES INC,4.0,0.26,0.17,,,transcripts_by_company/Astec_Industries_Inc_2010Q4.txt,0.5593816041946411,0.4406183958053589
EZCORP INC,4.0,0.15,0.13,,,transcripts_by_company/EZCORP_Inc_2016Q4.txt,0.5067015290260315,0.4932984709739685
SILICOM LIMITED,3.0,0.34,0.81,,,transcripts_by_company/Silicom_Ltd_2019Q3.txt,0.472861111164093,0.527138888835907
BORGWARNER INC,2.0,1.65,1.8,,,transcripts_by_company/BorgWarner_2003Q2.txt,0.5866325497627258,0.41336745023727417
LIFE TECHNOLOGIES CORP,1.0,0.87,0.78,,,transcripts_by_company/Synovis_Life_Technologies_Inc_2010Q1.txt,0.4552497863769531,0.5447502136230469
GROUPON INC,4.0,0.04,0.06,,,transcripts_by_company/Groupon_Inc_2013Q4.txt,0.4492165446281433,0.5507834553718567
STELLARONE CORP,4.0,-0.04,0.39,,,transcripts_by_company/StellarOne_Corporation_2008Q4.txt,0.4428953230381012,0.5571046769618988
EZCORP INC,3.0,0.43,0.78,,,transcripts_by_company/EZCORP_Inc_2013Q3.txt,0.5538906455039978,0.4461093544960022
APOLLO EDUCATION GROUP INC,4.0,1.28,1.11,,,transcripts_by_company/Apollo_Group_Inc_2011Q4.txt,0.48238494992256165,0.5176150500774384
