ticker,period,eps_actual,eps_forecast,eps_std,sue,transcript_path,cosine,nnw
EVE HOLDING INC,2.0,-0.11,-0.11,0.0133333333333333,0.0,transcripts_by_company/Eve_Holding_Inc_2023Q2.txt,0.5150545835494995,0.4849454164505005
EMBARCADERO TECHNOLOGIES,3.0,0.07,0.06,0.00625,1.6000000000000014,transcripts_by_company/Embarcadero_Technologies_2003Q3.txt,0.6019840240478516,0.39801597595214844
US AUTO PARTS NETWORK INC,4.0,-0.1,0.03,0.0209999999999999,-6.19047619047622,transcripts_by_company/US_Auto_Parts_2010Q4.txt,0.5846080183982849,0.4153919816017151
KIMBALL ELECTRONICS INC,4.0,0.28,0.22,,,transcripts_by_company/Kimball_Electronics_Inc_2016Q4.txt,0.44114747643470764,0.5588525235652924
CARECOM INC,2.0,-0.16,-0.2,0.0333333333333333,1.2000000000000015,transcripts_by_company/Carecom_Inc_2015Q2.txt,0.5190977454185486,0.4809022545814514
EQUINIX INC,1.0,0.81,0.85,0.1122222222222222,-0.35643564356435586,transcripts_by_company/Equinix_Inc_2014Q1.txt,0.555504322052002,0.44449567794799805
AFLAC INC,3.0,1.82,1.63,0.0377777777777777,5.029411764705897,transcripts_by_company/Aflac_Incorporated_2016Q3.txt,0.5130280256271362,0.48697197437286377
VERA BRADLEY INC,2.0,-0.05,-0.11,0.1211111111111111,0.4954128440366973,transcripts_by_company/Vera_Bradley_Inc_2021Q2.txt,0.5624828934669495,0.43751710653305054
LANCASTER COLONY CORP,4.0,1.27,1.22,0.0711111111111111,0.7031250000000008,transcripts_by_company/Lancaster_Colony_Corp_2012Q4.txt,0.5485923290252686,0.45140767097473145
COTIVITI HOLDINGS INC,4.0,0.47,0.46,0.014,0.714285714285711,transcripts_by_company/Cotiviti_Holdings_Inc_2017Q4.txt,0.6249938607215881,0.37500613927841187
CRA INTERNATIONAL INC,4.0,0.95,0.76,0.094,2.02127659574468,transcripts_by_company/CRA_International_Inc_2020Q4.txt,0.5825814008712769,0.41741859912872314
BF GOODRICH COMPANY,1.0,0.47,0.41,0.02,3.0,transcripts_by_company/Goodrich_Corporation_2005Q1.txt,0.5483285784721375,0.45167142152786255
ALTRA INDUSTRIAL MOTION CORP,4.0,0.41,0.35,0.018,3.3333333333333335,transcripts_by_company/Altra_Industrial_Motion_Corp_2016Q4.txt,0.5045421123504639,0.49545788764953613
SUNSTONE HOTEL INVESTORS INC,4.0,0.28,-0.05,0.0033333333333333,99.000000000001,transcripts_by_company/Sunstone_Hotel_Investors_Inc_2010Q4.txt,0.5464498996734619,0.4535501003265381
BENEFITFOCUS INC,2.0,-0.1,-0.12,0.0333333333333333,0.6000000000000003,transcripts_by_company/Benefitfocus_Inc_2022Q2.txt,0.44865554571151733,0.5513444542884827
PEBBLEBROOK HOTEL TRUST,4.0,-0.34,0.04,0.098,-3.877551020408163,transcripts_by_company/Pebblebrook_Hotel_Trust_2022Q4.txt,0.4771919846534729,0.5228080153465271
"URBAN OUTFITTERS, INC.",1.0,0.8,0.8,0.0388888888888888,0.0,transcripts_by_company/Urban_Outfitters_Inc_2019Q1.txt,0.5612903833389282,0.4387096166610718
HURON CONSULTING GROUP INC,2.0,0.47,0.86,0.0477777777777777,-8.162790697674433,transcripts_by_company/Huron_Consulting_Group_2009Q2.txt,0.48333969712257385,0.5166603028774261
EXPRESS INC,3.0,0.25,0.12,0.0166666666666666,7.800000000000031,transcripts_by_company/Hoteles_City_Express_SAB_de_CV_2015Q3.txt,0.5317264199256897,0.4682735800743103
KORN/FERRY INTERNATIONAL,1.0,0.26,0.36,0.02,-4.999999999999999,transcripts_by_company/KornFerry_International_2012Q1.txt,0.5919004082679749,0.40809959173202515
MARINA BIOTECH INC,1.0,-0.12,-0.27,0.03,5.000000000000001,transcripts_by_company/Marina_Biotech_Inc_2011Q1.txt,0.5688492655754089,0.43115073442459106
CABOT CORP,1.0,0.83,0.98,0.0688888888888888,-2.1774193548387126,transcripts_by_company/Cabot_Microelectronics_2014Q1.txt,0.4789746403694153,0.5210253596305847
ALEXION PHARMACEUTICALS INC,1.0,1.28,1.23,0.0522222222222222,0.9574468085106396,transcripts_by_company/Alexion_Pharmaceuticals_Inc_2015Q1.txt,0.5767772197723389,0.42322278022766113
CABOT CORP,3.0,0.53,0.77,0.0555555555555555,-4.320000000000005,transcripts_by_company/Cabot_Oil_and_Gas_Corporation_2011Q3.txt,0.5183242559432983,0.48167574405670166
AMERICAN WATER WORKS COMPANY INC,1.0,0.25,0.27,0.0277777777777777,-0.7200000000000026,transcripts_by_company/American_Water_Works_Company_Inc_2012Q1.txt,0.5011265277862549,0.4988734722137451
ROCKWELL AUTOMATION INC,4.0,2.14,2.33,0.1611111111111111,-1.179310344827586,transcripts_by_company/Rockwell_Automation_Inc_2021Q4.txt,0.4966636002063751,0.5033363997936249
REALPAGE INC,3.0,0.2,0.19,0.0075,1.3333333333333346,transcripts_by_company/RealPage_Inc_2016Q3.txt,0.47913044691085815,0.5208695530891418
THL CREDIT INC,2.0,0.35,0.34,0.01,0.9999999999999953,transcripts_by_company/THL_Credit_Inc_2015Q2.txt,0.603124737739563,0.396875262260437
FOAMIX PHARMACEUTICALS LTD,1.0,-0.14,-0.18,0.05,0.7999999999999996,transcripts_by_company/Foamix_Pharmaceuticals_Ltd_2015Q1.txt,0.5559341907501221,0.44406580924987793
QUOTIENT LTD,2.0,-0.24,-0.29,0.0277777777777777,1.8000000000000047,transcripts_by_company/Quotient_Limited_2021Q2.txt,0.5433861017227173,0.4566138982772827
CENTRAL GARDEN  PET CO,2.0,0.47,0.39,0.0344444444444444,2.322580645161292,transcripts_by_company/Central_Garden_and_Pet_Company_2012Q2.txt,0.47843489050865173,0.5215651094913483
COMMSCOPE HOLDING COMPANY INC,4.0,0.47,0.75,0.02,-14.000000000000002,transcripts_by_company/CommScope_Holding_Company_Inc_2017Q4.txt,0.5009157061576843,0.4990842938423157
CVR ENERGY INC,3.0,0.37,0.17,0.0533333333333333,3.7500000000000018,transcripts_by_company/CVR_Energy_Inc_2017Q3.txt,0.5847067832946777,0.41529321670532227
SYNAPTICS INC,3.0,0.96,1.8,0.2011111111111111,-4.176795580110498,transcripts_by_company/Synaptics_Incorporated_2016Q3.txt,0.429988831281662,0.570011168718338
DXP ENTERPRISES INC,1.0,0.42,0.36,0.0133333333333333,4.5000000000000115,transcripts_by_company/DXP_Enterprises_Inc_2011Q1.txt,0.5722991824150085,0.42770081758499146
PRUDENTIAL FINANCIAL INC,4.0,2.46,2.31,0.0777777777777777,1.9285714285714295,transcripts_by_company/Prudential_Financial_Inc_2016Q4.txt,0.6701451539993286,0.3298548460006714
KADANT INC,4.0,0.54,0.45,0.0177777777777777,5.062500000000023,transcripts_by_company/Kadant_2007Q4.txt,0.5357567071914673,0.4642432928085327
MEDICINOVA INC,4.0,-0.21,-0.28,0.0463636363636363,1.5098039215686303,transcripts_by_company/MediciNova_Inc_2011Q4.txt,0.5159130096435547,0.4840869903564453
UNISYS CORP,3.0,-0.33,-0.27,0.19125,-0.3137254901960784,transcripts_by_company/Unisys_Corporation_2023Q3.txt,0.5150708556175232,0.4849291443824768
SBA COMMUNICATIONS CORP,4.0,-0.27,-0.08,0.05,-3.8,transcripts_by_company/SBA_Communications_2007Q4.txt,0.5201878547668457,0.4798121452331543
CELGENE CORP,4.0,0.73,0.7,0.0277777777777777,1.080000000000004,transcripts_by_company/Celgene_Corporation_2010Q4.txt,0.49342861771583557,0.5065713822841644
EL POLLO LOCO HOLDINGS INC,3.0,0.19,0.18,0.0075,1.3333333333333346,transcripts_by_company/El_Pollo_Loco_Holdings_Inc_2018Q3.txt,0.5391131639480591,0.4608868360519409
