ticker,period,eps_actual,eps_forecast,eps_std,sue,transcript_path,cosine,nnw
FAMILY DOLLAR STORES INC,4.0,0.44,0.71,0.0455555555555555,-5.926829268292689,transcripts_by_company/Family_Dollar_Stores_Inc_2014Q4.txt,0.51869797706604,0.48130202293395996
MARIN SOFTWARE INC,4.0,-0.15,-0.19,0.0066666666666666,6.000000000000061,transcripts_by_company/Marin_Software_2014Q4.txt,0.5439662337303162,0.45603376626968384
IMATION CORPORATION,4.0,0.64,0.61,0.0528571428571428,0.5675675675675688,transcripts_by_company/Imation_Corp_2007Q4.txt,0.4955179691314697,0.5044820308685303
GATX CORP,4.0,0.5,0.64,0.0733333333333333,-1.90909090909091,transcripts_by_company/GATX_Corp_2006Q4.txt,0.5126675367355347,0.48733246326446533
SONOCO PRODUCTS CO,4.0,1.02,1.34,0.1111111111111111,-2.880000000000001,transcripts_by_company/Sonoco_Products_Company_CurrentQ4.txt,0.5142217874526978,0.48577821254730225
MIRATI THERAPEUTICS INC,2.0,-0.94,-0.65,0.13625,-2.1284403669724763,transcripts_by_company/Mirati_Therapeutics_Inc_2018Q2.txt,0.450714647769928,0.549285352230072
CASELLA WASTE SYSTEMS INC,1.0,0.02,0.02,0.02,0.0,transcripts_by_company/Casella_Waste_Systems_Inc_2006Q1.txt,0.5452482104301453,0.45475178956985474
INVITROGEN CORPORATION,3.0,0.77,0.75,0.0088888888888888,2.2500000000000244,transcripts_by_company/Invitrogen_Corporation_2004Q3.txt,0.5465117692947388,0.45348823070526123
CDI CORP,4.0,-0.12,0.09,0.0339999999999999,-6.176470588235312,transcripts_by_company/CDI_Corp_2010Q4.txt,0.5162230134010315,0.4837769865989685
BENIHANA INC,2.0,0.25,0.44,0.0244444444444444,-7.772727272727287,transcripts_by_company/Benihana_Inc_2007Q2.txt,0.583886444568634,0.41611355543136597
JAKKS PACIFIC INC,4.0,0.11,-0.33,0.15,2.9333333333333336,transcripts_by_company/JAKKS_Pacific_Inc_2014Q4.txt,0.5375193357467651,0.46248066425323486
ARCUTIS BIOTHERAPEUTICS INC,2.0,-1.31,-1.33,0.08,0.2500000000000002,transcripts_by_company/Arcutis_Biotherapeutics_Inc_2022Q2.txt,0.43635275959968567,0.5636472404003143
ROSS STORES INC,1.0,1.02,1.1,0.0344444444444444,-2.3225806451612954,transcripts_by_company/Ross_Stores_Inc_2014Q1.txt,0.48748886585235596,0.512511134147644
DISCOVERY INC,3.0,0.22,0.27,0.02125,-2.3529411764705888,transcripts_by_company/Discovery_Laboratories_2009Q3.txt,0.5903717875480652,0.4096282124519348
POZEN INC,1.0,-0.08,-0.08,0.0375,0.0,transcripts_by_company/POZEN_Inc_2004Q1.txt,0.5366557836532593,0.4633442163467407
NAVIOS MARITIME PARTNERS LP,1.0,0.01,-0.03,0.0209999999999999,1.9047619047619138,transcripts_by_company/Navios_Maritime_Partners_2017Q1.txt,0.5370346307754517,0.46296536922454834
MCGRAW-HILL COMPANIES INCORPORAT,4.0,0.51,0.72,0.0411111111111111,-5.108108108108109,transcripts_by_company/The_McGraw-Hill_Companies_2007Q4.txt,0.5699892044067383,0.4300107955932617
MACROGENICS INC,3.0,-0.66,-0.98,0.1675,1.9104477611940294,transcripts_by_company/MacroGenics_Inc_2020Q3.txt,0.4731444716453552,0.5268555283546448
DARDEN RESTAURANTS INC,1.0,2.34,2.26,0.0888888888888888,0.9000000000000018,transcripts_by_company/Darden_Restaurants_Inc_2023Q1.txt,0.5940139889717102,0.4059860110282898
HASBRO BRADLEY I,2.0,0.29,0.24,0.0411111111111111,1.2162162162162162,transcripts_by_company/Hasbro_Inc_2010Q2.txt,0.589141845703125,0.410858154296875
BANCORP INC,1.0,0.19,0.22,0.0188888888888888,-1.5882352941176545,transcripts_by_company/Fifth_Third_Bancorp_2013Q1.txt,0.4694402813911438,0.5305597186088562
COMPUCREDIT CORPORATION,1.0,-2.59,-0.43,0.22,-9.818181818181817,transcripts_by_company/CompuCredit_2009Q1.txt,0.5792122483253479,0.4207877516746521
RED HAT INC,2.0,0.19,0.2,0.0077777777777777,-1.2857142857142996,transcripts_by_company/Red_Hat_Inc_2008Q2.txt,0.5452356934547424,0.45476430654525757
SYROS PHARMACEUTICALS INC,3.0,-3.21,-0.48,0.0999999999999999,-27.30000000000003,transcripts_by_company/Syros_Pharmaceuticals_Inc_2022Q3.txt,0.5591252446174622,0.44087475538253784
CENTRAL EUROPEAN MEDIA ENTERPRIS,4.0,-0.8,-0.15,,,transcripts_by_company/Central_European_Media_Enterprises_Ltd_2015Q4.txt,0.4001809358596802,0.5998190641403198
BAOZUN INC,2.0,2.01,1.74,1.28,0.21093749999999983,transcripts_by_company/Baozun_Inc_2021Q2.txt,0.5549907684326172,0.4450092315673828
MODIV INC,2.0,0.35,-0.14,0.0185714285714285,26.384615384615486,transcripts_by_company/Modiv_Inc_2023Q2.txt,0.4888456165790558,0.5111543834209442
VIVINT SOLAR INC,2.0,-0.24,0.19,0.2388888888888888,-1.8000000000000007,transcripts_by_company/Vivint_Solar_Inc_2019Q2.txt,0.4888231158256531,0.5111768841743469
WYNDHAM WORLDWIDE CORP,3.0,0.68,0.56,0.02,6.0,transcripts_by_company/Wyndham_Worldwide_2010Q3.txt,0.5991421937942505,0.4008578062057495
MT BANK CORP,2.0,5.05,5.06,0.5277777777777778,-0.018947368421052227,transcripts_by_company/Bank_of_the_Philippine_Islands_2023Q2.txt,0.46074962615966797,0.539250373840332
ACRES COMMERCIAL REALTY CORP,1.0,-0.01,0.11,0.1833333333333333,-0.6545454545454547,transcripts_by_company/ACRES_Commercial_Realty_Corp_2021Q1.txt,0.5835257172584534,0.41647428274154663
QUANEX BUILDING PRODUCTS CORP,4.0,0.04,0.16,0.0311111111111111,-3.8571428571428585,transcripts_by_company/Quanex_Building_Products_Corporation_2013Q4.txt,0.5916438102722168,0.4083561897277832
BLUE NILE INC,3.0,0.17,0.17,0.01,0.0,transcripts_by_company/Blue_Nile_Inc_2015Q3.txt,0.46454304456710815,0.5354569554328918
GREENHILL & CO INC,1.0,0.25,0.41,0.0733333333333333,-2.181818181818182,transcripts_by_company/Greenhill_and_Company_Inc_2015Q1.txt,0.5280394554138184,0.47196054458618164
UMPQUA HOLDINGS CORP,3.0,0.38,0.43,0.01,-4.999999999999999,transcripts_by_company/Umpqua_Holdings_Corporation_2019Q3.txt,0.5045365691184998,0.49546343088150024
BRIGHTHOUSE FINANCIAL INC,2.0,0.33,3.53,0.3677777777777777,-8.700906344410877,transcripts_by_company/Brighthouse_Financial_Inc_2022Q2.txt,0.49982255697250366,0.5001774430274963
FIRST MARBLEHEAD CORP,3.0,-0.94,0.76,0.2777777777777778,-6.119999999999999,transcripts_by_company/First_Marblehead_Corporation_2008Q3.txt,0.5657585859298706,0.4342414140701294
REPLIGEN CORP,2.0,0.2,0.17,0.0133333333333333,2.2500000000000058,transcripts_by_company/Repligen_Corporation_2017Q2.txt,0.5923032760620117,0.4076967239379883
CREE INC,3.0,0.6,0.5,0.0266666666666666,3.750000000000009,transcripts_by_company/Cree_Inc_2010Q3.txt,0.5072636604309082,0.4927363395690918
KAMAN CORP,1.0,0.21,0.56,0.0233333333333333,-15.000000000000025,transcripts_by_company/Kaman_Corporation_2009Q1.txt,0.5979377031326294,0.4020622968673706
NATIONAL RETAIL PROPERTIES INC,3.0,0.29,0.28,0.0166666666666666,0.5999999999999995,transcripts_by_company/National_Retail_Properties_Inc_2013Q3.txt,0.5289081335067749,0.4710918664932251
STANDARD MOTOR PRODUCTS INC,4.0,0.37,0.82,0.054,-8.333333333333332,transcripts_by_company/Standard_Motor_Products_Inc_2023Q4.txt,0.530627965927124,0.469372034072876
AMERICAN EXPRESS CO,1.0,0.73,0.38,0.1588888888888889,2.2027972027972025,transcripts_by_company/American_Express_Company_2010Q1.txt,0.5625093579292297,0.43749064207077026
NAVIGANT CONSULTING CO,4.0,0.15,0.24,0.0111111111111111,-8.100000000000009,transcripts_by_company/Navigant_Consulting_2010Q4.txt,0.5029203295707703,0.49707967042922974
DELTA AIR LINES INC,4.0,-1.22,-1.52,0.45,0.6666666666666667,transcripts_by_company/Delta_Air_Lines_Inc_2006Q4.txt,0.5670382976531982,0.43296170234680176
LIMBACH HOLDINGS INC,3.0,-0.46,0.33,0.07625,-10.360655737704919,transcripts_by_company/Limbach_Holdings_Inc_2018Q3.txt,0.5600799918174744,0.43992000818252563
ATRICURE INC,2.0,-0.11,-0.23,0.0588888888888888,2.037735849056607,transcripts_by_company/AtriCure_Inc_2023Q2.txt,0.4825281500816345,0.5174718499183655
ELECTRONIC ARTS INC,2.0,-0.22,-0.07,0.0566666666666666,-2.647058823529415,transcripts_by_company/Electronic_Arts_2007Q2.txt,0.5567879676818848,0.44321203231811523
KENNAMETAL INC,1.0,0.46,0.82,0.0566666666666666,-6.352941176470594,transcripts_by_company/Kennametal_Inc_2020Q1.txt,0.5087266564369202,0.49127334356307983
GLOBAL TELECOM & TECHNOLOGY INC,3.0,-0.19,0.07,,,transcripts_by_company/Global_Telecom_and_Technology_Inc_2013Q3.txt,0.5674105286598206,0.43258947134017944
CROWN HOLDINGS INC,4.0,0.48,0.58,0.0279999999999999,-3.5714285714285836,transcripts_by_company/Crown_Holdings_Inc_2014Q4.txt,0.4664194881916046,0.5335805118083954
HYSTER-YALE INC,1.0,0.9,1.27,0.1277777777777777,-2.895652173913045,transcripts_by_company/Hyster-Yale_Materials_Handling_Inc_2018Q1.txt,0.4520573616027832,0.5479426383972168
ELKCORP,1.0,0.75,0.46,0.0288888888888888,10.038461538461569,transcripts_by_company/ElkCorp_2005Q1.txt,0.5450963377952576,0.45490366220474243
PRIORITY TECHNOLOGY HOLDINGS INC,2.0,-0.11,0.1,0.0377777777777777,-5.558823529411776,transcripts_by_company/Priority_Technology_Holdings_Inc_2022Q2.txt,0.5508400201797485,0.44915997982025146
THL CREDIT INC,4.0,0.36,0.35,0.01,1.0000000000000009,transcripts_by_company/THL_Credit_Inc_2015Q4.txt,0.617698073387146,0.382301926612854
AUTONATION INC,1.0,0.75,0.76,0.0288888888888888,-0.34615384615384753,transcripts_by_company/AutoNation_2014Q1.txt,0.5326257348060608,0.4673742651939392
BANK OF HAWAII CORP,3.0,0.95,0.92,0.0266666666666666,1.1249999999999998,transcripts_by_company/Bank_of_Hawaii_Corporation_2014Q3.txt,0.5702640414237976,0.4297359585762024
BENCHMARK ELECTRONICS INC,4.0,0.48,0.37,0.0133333333333333,8.25000000000002,transcripts_by_company/Benchmark_Electronics_Inc_2021Q4.txt,0.5820555090904236,0.4179444909095764
PNM RESOURCES INC,4.0,0.15,0.35,0.0463636363636363,-4.3137254901960835,transcripts_by_company/PNM_Resources_Inc_2020Q4.txt,0.5267908573150635,0.4732091426849365
DULUTH HOLDINGS INC,3.0,0.18,0.1,0.0566666666666666,1.4117647058823544,transcripts_by_company/Duluth_Holdings_Inc_2020Q3.txt,0.593160092830658,0.40683990716934204
EGAIN CORP,1.0,-0.05,0.02,,,transcripts_by_company/eGain_Communications_Corporation_2012Q1.txt,0.47567397356033325,0.5243260264396667
IROBOT CORP,2.0,-0.1,-0.06,0.0522222222222222,-0.7659574468085112,transcripts_by_company/iRobot_Corporation_2009Q2.txt,0.45473191142082214,0.5452680885791779
ENPRO INC,4.0,1.23,1.14,0.063,1.42857142857143,transcripts_by_company/EnPro_Industries_Inc_2021Q4.txt,0.6110295653343201,0.38897043466567993
METRO-GOLDWYN-MAYER INC,4.0,0.25,0.08,0.0366666666666666,4.636363636363645,transcripts_by_company/Metro-Goldwyn-Mayer_2003Q4.txt,0.5975033044815063,0.40249669551849365
CORENERGY INFRASTRUCTURE TRUST I,3.0,0.12,0.11,0.02375,0.4210526315789472,transcripts_by_company/CorEnergy_Infrastructure_Trust_Inc_2015Q3.txt,0.5643884539604187,0.4356115460395813
API GROUP CORP,3.0,0.37,0.41,0.025,-1.5999999999999992,transcripts_by_company/APi_Group_Corporation_2022Q3.txt,0.5132051706314087,0.4867948293685913
NANTHEALTH INC,1.0,-0.06,-0.04,0.0088888888888888,-2.250000000000022,transcripts_by_company/NantHealth_Inc_2020Q1.txt,0.5051493048667908,0.49485069513320923
NOVO NORDISK A/S,1.0,8.78,7.65,0.5766666666666667,1.9595375722543336,transcripts_by_company/Novo_Nordisk_AS_2023Q1.txt,0.47262948751449585,0.5273705124855042
SNC-LAVALIN GROUP 'A',3.0,0.3,0.4,0.08625,-1.159420289855073,transcripts_by_company/SNC-Lavalin_Group_Inc_2022Q3.txt,0.4627380967140198,0.5372619032859802
SOUTHWEST GAS CORP,1.0,1.77,1.67,0.14,0.7142857142857149,transcripts_by_company/Southwest_Gas_Holdings_Inc_2019Q1.txt,0.5461949110031128,0.4538050889968872
NETSOL TECHNOLOGIES INCORPORATE,1.0,0.02,0.0,0.0075,2.666666666666667,transcripts_by_company/Netsol_Technologies_Inc_2010Q1.txt,0.524137020111084,0.475862979888916
SQUARESPACE INC,4.0,0.9,0.09,0.0622222222222222,13.017857142857148,transcripts_by_company/Squarespace_Inc_2021Q4.txt,0.5508884787559509,0.4491115212440491
HARLEY-DAVIDSON INC,1.0,1.45,1.36,0.1566666666666666,0.5744680851063824,transcripts_by_company/Harley-Davidson_Inc_2022Q1.txt,0.48139694333076477,0.5186030566692352
MACROGENICS INC,3.0,0.28,-0.61,0.29375,3.029787234042553,transcripts_by_company/MacroGenics_Inc_2023Q3.txt,0.44924116134643555,0.5507588386535645
WACKER CHEMIE AG,3.0,1.3,0.34,0.1325,7.245283018867924,transcripts_by_company/Wacker_Chemie_AG_2020Q3.txt,0.51157546043396,0.48842453956604004
