ticker,period,eps_actual,eps_forecast,transcript_path,cosine_prepared,cosine_qa,nnw_final,has_qa_section
FAMILY DOLLAR STORES INC,4.0,0.44,0.71,transcripts_by_company/Family_Dollar_Stores_Inc_2014Q4.txt,0.19500719010829926,0.2821725308895111,0.7788432076573373,True
MARIN SOFTWARE INC,4.0,-0.15,-0.19,transcripts_by_company/Marin_Software_2014Q4.txt,0.26545852422714233,0.17461514472961426,0.761794489622116,True
IMATION CORPORATION,4.0,0.64,0.61,transcripts_by_company/Imation_Corp_2007Q4.txt,0.19643977284431458,0.0,0.8035602271556854,False
GATX CORP,4.0,0.5,0.64,transcripts_by_company/GATX_Corp_2006Q4.txt,0.09712056070566177,0.05146494135260582,0.916576125100255,True
SONOCO PRODUCTS CO,4.0,1.02,1.34,transcripts_by_company/Sonoco_Products_Company_CurrentQ4.txt,0.28424373269081116,0.36067962646484375,0.6928254991769791,True
MIRATI THERAPEUTICS INC,2.0,-0.94,-0.65,transcripts_by_company/Mirati_Therapeutics_Inc_2018Q2.txt,0.15932801365852356,0.0,0.8406719863414764,False
CASELLA WASTE SYSTEMS INC,1.0,0.02,0.02,transcripts_by_company/Casella_Waste_Systems_Inc_2006Q1.txt,0.3414403200149536,0.3143257796764374,0.6666940420866012,True
INVITROGEN CORPORATION,3.0,0.77,0.75,transcripts_by_company/Invitrogen_Corporation_2004Q3.txt,0.1826334148645401,0.2713361978530884,0.7907557502388954,True
CDI CORP,4.0,-0.12,0.09,transcripts_by_company/CDI_Corp_2010Q4.txt,0.1327144056558609,0.42043185234069824,0.7809703603386879,True
BENIHANA INC,2.0,0.25,0.44,transcripts_by_company/Benihana_Inc_2007Q2.txt,0.32844239473342896,0.024933261796832085,0.7626103451475501,True
JAKKS PACIFIC INC,4.0,0.11,-0.33,transcripts_by_company/JAKKS_Pacific_Inc_2014Q4.txt,0.3847501873970032,0.15079531073570251,0.685436275601387,True
ARCUTIS BIOTHERAPEUTICS INC,2.0,-1.31,-1.33,transcripts_by_company/Arcutis_Biotherapeutics_Inc_2022Q2.txt,0.25746574997901917,0.4006822109222412,0.6995693117380142,True
ROSS STORES INC,1.0,1.02,1.1,transcripts_by_company/Ross_Stores_Inc_2014Q1.txt,0.24682654440402985,0.016303757205605507,0.8223302917554974,True
DISCOVERY INC,3.0,0.22,0.27,transcripts_by_company/Discovery_Laboratories_2009Q3.txt,0.17284639179706573,0.0,0.8271536082029343,False
POZEN INC,1.0,-0.08,-0.08,transcripts_by_company/POZEN_Inc_2004Q1.txt,0.26407498121261597,0.16108083724975586,0.7668232619762421,True
NAVIOS MARITIME PARTNERS LP,1.0,0.01,-0.03,transcripts_by_company/Navios_Maritime_Partners_2017Q1.txt,0.2779858708381653,0.31633904576301575,0.7105081766843796,True
MCGRAW-HILL COMPANIES INCORPORAT,4.0,0.51,0.72,transcripts_by_company/The_McGraw-Hill_Companies_2007Q4.txt,0.2623731791973114,0.1232479140162468,0.7793644003570079,True
MACROGENICS INC,3.0,-0.66,-0.98,transcripts_by_company/MacroGenics_Inc_2020Q3.txt,0.23061604797840118,0.2730776369571686,0.7566454753279686,True
DARDEN RESTAURANTS INC,1.0,2.34,2.26,transcripts_by_company/Darden_Restaurants_Inc_2023Q1.txt,0.26917222142219543,0.30302539467811584,0.7206718266010285,True
HASBRO BRADLEY I,2.0,0.29,0.24,transcripts_by_company/Hasbro_Inc_2010Q2.txt,0.30992254614830017,-0.019094472751021385,0.7887825595214963,True
BANCORP INC,1.0,0.19,0.22,transcripts_by_company/Fifth_Third_Bancorp_2013Q1.txt,0.22520878911018372,0.2778691351413727,0.7589931070804596,True
COMPUCREDIT CORPORATION,1.0,-2.59,-0.43,transcripts_by_company/CompuCredit_2009Q1.txt,0.10261067003011703,0.0,0.897389329969883,False
RED HAT INC,2.0,0.19,0.2,transcripts_by_company/Red_Hat_Inc_2008Q2.txt,0.0861603245139122,0.1765381544828415,0.8867263264954091,True
SYROS PHARMACEUTICALS INC,3.0,-3.21,-0.48,transcripts_by_company/Syros_Pharmaceuticals_Inc_2022Q3.txt,0.3099294900894165,0.13655361533164978,0.7420832723379136,True
CENTRAL EUROPEAN MEDIA ENTERPRIS,4.0,-0.8,-0.15,transcripts_by_company/Central_European_Media_Enterprises_Ltd_2015Q4.txt,0.10800029337406158,0.15798181295394897,0.8770052507519722,True
BAOZUN INC,2.0,2.01,1.74,transcripts_by_company/Baozun_Inc_2021Q2.txt,0.36657917499542236,0.16703569889068604,0.6932838678359985,True
MODIV INC,2.0,0.35,-0.14,transcripts_by_company/Modiv_Inc_2023Q2.txt,0.14406943321228027,0.16426299512386322,0.8498724982142448,True
VIVINT SOLAR INC,2.0,-0.24,0.19,transcripts_by_company/Vivint_Solar_Inc_2019Q2.txt,0.1843874454498291,0.1916901171207428,0.8134217530488967,True
WYNDHAM WORLDWIDE CORP,3.0,0.68,0.56,transcripts_by_company/Wyndham_Worldwide_2010Q3.txt,0.34105607867240906,0.157120943069458,0.7141244620084763,True
MT BANK CORP,2.0,5.05,5.06,transcripts_by_company/Bank_of_the_Philippine_Islands_2023Q2.txt,0.24529385566711426,0.2808729410171509,0.7440324187278748,True
ACRES COMMERCIAL REALTY CORP,1.0,-0.01,0.11,transcripts_by_company/ACRES_Commercial_Realty_Corp_2021Q1.txt,0.4282642602920532,0.26879358291625977,0.6195769429206849,True
QUANEX BUILDING PRODUCTS CORP,4.0,0.04,0.16,transcripts_by_company/Quanex_Building_Products_Corporation_2013Q4.txt,0.40484875440597534,0.24422231316566467,0.6433391779661178,True
BLUE NILE INC,3.0,0.17,0.17,transcripts_by_company/Blue_Nile_Inc_2015Q3.txt,0.15120570361614227,0.16199049353599548,0.8455588594079018,True
GREENHILL & CO INC,1.0,0.25,0.41,transcripts_by_company/Greenhill_and_Company_Inc_2015Q1.txt,0.2791362404823303,0.34283924102783203,0.7017528593540192,True
UMPQUA HOLDINGS CORP,3.0,0.38,0.43,transcripts_by_company/Umpqua_Holdings_Corporation_2019Q3.txt,0.1504267156124115,0.13871021568775177,0.8530882343649864,True
