filepath,cusip,ticker,company_name,eps_actual,eps_forecast
/Users/vazea/Desktop/NNW/transcripts_by_company/PENN_ENTERTAINMENT_INC_2003Q1.txt,70756910,PENN,PENN ENTERTAINMENT INC,0.36,0.31
/Users/vazea/Desktop/NNW/transcripts_by_company/CHIPOTLE_MEXICAN_GRILL_INC_2011Q4.txt,16965610,CMG,CHIPOTLE MEXICAN GRILL INC,6.81,6.85
/Users/vazea/Desktop/NNW/transcripts_by_company/PF_CHANGS_CHINA_BISTRO_INC_2003Q2.txt,69333Y10,PFCB,PF CHANG'S CHINA BISTRO INC,0.27,0.27
/Users/vazea/Desktop/NNW/transcripts_by_company/LXP_INDUSTRIAL_TRUST_2016Q3.txt,52904310,LXP,LXP INDUSTRIAL TRUST,-0.11,0.09
/Users/vazea/Desktop/NNW/transcripts_by_company/OXFORD_SQUARE_CAPITAL_CORP_2021Q1.txt,69181V10,OXSQ,OXFORD SQUARE CAPITAL CORP,0.1,0.09
/Users/vazea/Desktop/NNW/transcripts_by_company/KROGER_CO_2023Q4.txt,50104410,KR,KROGER CO,4.23,4.14
/Users/vazea/Desktop/NNW/transcripts_by_company/FIFTH_THIRD_BANCORP_2019Q3.txt,31677310,FITB,FIFTH THIRD BANCORP,0.75,0.73
/Users/vazea/Desktop/NNW/transcripts_by_company/ESTABLISHMENT_LABS_HOLDINGS_INC_2022Q1.txt,G3124910,ESTA,ESTABLISHMENT LABS HOLDINGS INC,-0.24,-0.41
/Users/vazea/Desktop/NNW/transcripts_by_company/RELMADA_THERAPEUTICS_INC_2022Q4.txt,75955J40,RLMD,RELMADA THERAPEUTICS INC,-5.3,-5.37
/Users/vazea/Desktop/NNW/transcripts_by_company/BRAINSTORM_CELL_THERAPEUTICS_INC_2022Q4.txt,10501E20,BCLI,BRAINSTORM CELL THERAPEUTICS INC,-0.66,-0.68
/Users/vazea/Desktop/NNW/transcripts_by_company/INFINITY_PROPERTY_AND_CSLTY_CORP_2010Q4.txt,45665Q10,IPCC,INFINITY PROPERTY AND CSLTY CORP,6.12,5.5
/Users/vazea/Desktop/NNW/transcripts_by_company/ANAREN_INC_2011Q2.txt,03274410,ANEN,ANAREN INC,0.38,0.32
/Users/vazea/Desktop/NNW/transcripts_by_company/AMCOL_INTERNATIONAL_CORPORATION_2011Q4.txt,02341W10,ACO,AMCOL INTERNATIONAL CORPORATION,1.82,1.82
/Users/vazea/Desktop/NNW/transcripts_by_company/GROWGENERATION_CORP_2023Q2.txt,39986L10,GRWG,GROWGENERATION CORP,-0.09,-0.07
/Users/vazea/Desktop/NNW/transcripts_by_company/1LIFE_HEALTHCARE_INC_2020Q2.txt,68269G10,ONEM,1LIFE HEALTHCARE INC,-0.24,-0.32
/Users/vazea/Desktop/NNW/transcripts_by_company/MONDELEZ_INTERNATIONAL_INC_2016Q1.txt,60920710,MDLZ,MONDELEZ INTERNATIONAL INC,0.48,0.39
/Users/vazea/Desktop/NNW/transcripts_by_company/MICROS_SYSTEM_INC_2003Q4.txt,59490110,MCRS,MICROS SYSTEM INC,1.22,1.15
/Users/vazea/Desktop/NNW/transcripts_by_company/EL_POLLO_LOCO_HOLDINGS_INC_2019Q3.txt,26860310,LOCO,EL POLLO LOCO HOLDINGS INC,0.2,0.17
/Users/vazea/Desktop/NNW/transcripts_by_company/INFOCUS_CORPORATION_2004Q4.txt,45665B10,INFS,INFOCUS CORPORATION,-0.02,-0.07
/Users/vazea/Desktop/NNW/transcripts_by_company/REGIONS_FINANCIAL_CORP_2013Q3.txt,7591EP10,RF,REGIONS FINANCIAL CORP,0.2,0.21
/Users/vazea/Desktop/NNW/transcripts_by_company/WESTERN_UNION_CO_2014Q3.txt,95980210,WU,WESTERN UNION CO,0.44,0.38
/Users/vazea/Desktop/NNW/transcripts_by_company/DNOW_INC_2018Q1.txt,67011P10,DNOW,DNOW INC,0.01,-0.02
/Users/vazea/Desktop/NNW/transcripts_by_company/OXFORD_IMMUNOTEC_GLOBAL_PLC_2015Q4.txt,G6855A10,OXFD,OXFORD IMMUNOTEC GLOBAL PLC,-1.12,-1.12
/Users/vazea/Desktop/NNW/transcripts_by_company/CHEWY_INC_2020Q4.txt,16679L10,CHWY,CHEWY INC,-0.63,-0.65
/Users/vazea/Desktop/NNW/transcripts_by_company/DELTEK_INC_2010Q4.txt,24784L10,PROJ,DELTEK INC,0.38,0.28
/Users/vazea/Desktop/NNW/transcripts_by_company/SPECTRA_ENERGY_CORP_2013Q4.txt,84756010,SE,SPECTRA ENERGY CORP,1.64,1.6
/Users/vazea/Desktop/NNW/transcripts_by_company/TEXTURA_CORP_2015Q3.txt,88321110,TXTR,TEXTURA CORP,0.07,0.06
/Users/vazea/Desktop/NNW/transcripts_by_company/WORKDAY_INC_2020Q3.txt,98138H10,WDAY,WORKDAY INC,0.53,0.37
/Users/vazea/Desktop/NNW/transcripts_by_company/RUDOLPH_TECHNOLOGIES_INC_2003Q3.txt,78127010,RTEC,RUDOLPH TECHNOLOGIES INC,0.03,0.02
/Users/vazea/Desktop/NNW/transcripts_by_company/APPLIED_MATERIALS_INC_2019Q4.txt,03822210,AMAT,APPLIED MATERIALS INC,3.04,3.0
/Users/vazea/Desktop/NNW/transcripts_by_company/ARCHERDANIELSMIDLAND_CO_2009Q3.txt,03948310,ADM,ARCHER-DANIELS-MIDLAND CO,0.34,0.5
/Users/vazea/Desktop/NNW/transcripts_by_company/STORA_ENSO_OYJ_2003Q4.txt,86210M10,SEO,STORA ENSO OYJ,0.29,0.42
/Users/vazea/Desktop/NNW/transcripts_by_company/INTUIT_INC_2015Q2.txt,46120210,INTU,INTUIT INC,-0.06,-0.12
/Users/vazea/Desktop/NNW/transcripts_by_company/SAGE_THERAPEUTICS_INC_2018Q4.txt,78667J10,SAGE,SAGE THERAPEUTICS INC,-8.08,-7.51
/Users/vazea/Desktop/NNW/transcripts_by_company/TRIQUINT_SEMICONDUCTOR_INC_2003Q2.txt,89674K10,TQNT,TRIQUINT SEMICONDUCTOR INC,-0.11,-0.11
/Users/vazea/Desktop/NNW/transcripts_by_company/LOGMEIN_INC_2017Q3.txt,54142L10,LOGM,LOGMEIN INC,1.16,1.11
/Users/vazea/Desktop/NNW/transcripts_by_company/VIOMI_TECHNOLOGY_CO_LTD_2020Q2.txt,92762J10,VIOT,VIOMI TECHNOLOGY CO LTD,0.57,0.69
/Users/vazea/Desktop/NNW/transcripts_by_company/BUILDABEAR_WORKSHOP_INC_2006Q4.txt,12007610,BBW,BUILD-A-BEAR WORKSHOP INC,1.44,1.43
/Users/vazea/Desktop/NNW/transcripts_by_company/TEEKAY_OFFSHORE_PARTNERS_LP_2018Q2.txt,Y8565J10,TOO,TEEKAY OFFSHORE PARTNERS LP,-0.002,0.05
/Users/vazea/Desktop/NNW/transcripts_by_company/SPIRIT_AEROSYSTEMS_HOLDINGS_INC_2018Q2.txt,84857410,SPR,SPIRIT AEROSYSTEMS HOLDINGS INC,1.63,1.51
/Users/vazea/Desktop/NNW/transcripts_by_company/EVENTBRITE_INC_2022Q3.txt,29975E10,EB,EVENTBRITE INC,-0.21,-0.16
/Users/vazea/Desktop/NNW/transcripts_by_company/APRIA_HEALTHCARE_GROUP_INCORPORA_2003Q1.txt,03793310,AHG,APRIA HEALTHCARE GROUP INCORPORA,0.5,0.49
/Users/vazea/Desktop/NNW/transcripts_by_company/GUESS_INC_2007Q2.txt,40161710,GES,GUESS? INC,0.38,0.38
/Users/vazea/Desktop/NNW/transcripts_by_company/ALIGN_TECHNOLOGY_INC_2015Q2.txt,01625510,ALGN,ALIGN TECHNOLOGY INC,0.39,0.37
/Users/vazea/Desktop/NNW/transcripts_by_company/MOLSON_COORS_BEVERAGE_CO_2013Q1.txt,60871R20,TAP,MOLSON COORS BEVERAGE CO,0.3,0.34
