ticker,period,eps_actual,eps_forecast,transcript_path,cosine,nnw
ITC HOLDINGS CORP,1.0,0.44,1.27,transcripts_by_company/ITC_Holdings_Corp_2014Q1.txt,0.33573994040489197,0.664260059595108
DSP GROUP INC,3.0,0.26,0.38,transcripts_by_company/DSP_Group_Inc_2007Q3.txt,0.19987471401691437,0.8001252859830856
51JOB INC,4.0,0.61,0.58,transcripts_by_company/51job_Inc_2011Q4.txt,0.10525920987129211,0.8947407901287079
1ST UNITED BANCORP INC,4.0,0.03,0.05,transcripts_by_company/1st_United_Bancorp_Inc_2011Q4.txt,0.2565637528896332,0.7434362471103668
MDU RESOURCES GROUP INC,1.0,0.17,0.23,transcripts_by_company/MDU_Resources_Group_Inc_2016Q1.txt,0.07792497426271439,0.9220750257372856
INTERSIL CORPORATION,4.0,0.2,0.18,transcripts_by_company/Intersil_Corporation_2015Q4.txt,0.19707649946212769,0.8029235005378723
HENRY JACK & ASSOCIATES,2.0,0.35,0.37,transcripts_by_company/Jack_Henry_and_Associates_2010Q2.txt,0.2640911638736725,0.7359088361263275
WIND RIVER SYSTEMS INC,3.0,0.07,0.05,transcripts_by_company/Wind_River_Systems_2005Q3.txt,0.22712796926498413,0.7728720307350159
ECOPETROL SA,4.0,0.03,0.33,transcripts_by_company/Ecopetrol_SA_2016Q4.txt,0.3577236235141754,0.6422763764858246
DYCOM INDUSTRIES INC,4.0,0.15,0.19,transcripts_by_company/Dycom_Industries_Inc_2009Q4.txt,0.08324763178825378,0.9167523682117462
AVALONBAY COMMUNITIES INC,1.0,0.6,0.67,transcripts_by_company/Avalonbay_Communities_2008Q1.txt,0.0783659964799881,0.9216340035200119
MSA SAFETY INC,2.0,1.22,1.2,transcripts_by_company/MSA_Safety_Incorporated_2019Q2.txt,0.16949957609176636,0.8305004239082336
HUMANA INC,2.0,0.51,0.52,transcripts_by_company/Humana_Inc_2005Q2.txt,0.1569325476884842,0.8430674523115158
MEDIACOM COMMUNICATIONS CORP,4.0,0.06,-0.2,transcripts_by_company/Mediacom_Communications_2003Q4.txt,0.23322919011116028,0.7667708098888397
ABM INDUSTRIES INC,3.0,0.51,0.54,transcripts_by_company/ABM_Industries_Incorporated_2017Q3.txt,0.2719746232032776,0.7280253767967224
OMNICELL INC,3.0,0.6,0.82,transcripts_by_company/Omnicell_Inc_2020Q3.txt,0.2873271703720093,0.7126728296279907
MANHATTAN ASSOCIATES INC,4.0,0.46,0.35,transcripts_by_company/Manhattan_Associates_Inc_2018Q4.txt,0.14547866582870483,0.8545213341712952
HIMS & HERS HEALTH INC,2.0,-0.1,-0.03,transcripts_by_company/Hims_and_Hers_Health_Inc_2022Q2.txt,0.20522405207157135,0.7947759479284286
AMERICAN VANGUARD CORP,1.0,0.03,0.12,transcripts_by_company/American_Vanguard_2009Q1.txt,0.3367864191532135,0.6632135808467865
CASH SYSTEMS INC,1.0,-0.07,-0.02,transcripts_by_company/Cash_Systems_Inc_2006Q1.txt,0.30878105759620667,0.6912189424037933
UNDER ARMOUR INC,3.0,0.41,0.42,transcripts_by_company/Under_Armour_Inc_2014Q3.txt,0.22283439338207245,0.7771656066179276
LEAR CORP,1.0,3.73,2.97,transcripts_by_company/Lear_Corporation_2021Q1.txt,0.35217806696891785,0.6478219330310822
