ticker,period,eps_actual,eps_forecast,transcript_path,cosine,nnw
PROASSURANCE CORP,2.0,1.36,1.19,transcripts_by_company/ProAssurance_Corporation_2008Q2.txt,0.07987982034683228,0.9201201796531677
SALIX PHARMACEUTICALS LTD,3.0,-0.15,-0.1,transcripts_by_company/Salix_Pharmaceuticals_Ltd_2009Q3.txt,0.24833334982395172,0.7516666501760483
NAPCO SECURITY TECHNOLOGIES INC,3.0,0.28,0.24,transcripts_by_company/Napco_Security_Technologies_Inc_2023Q3.txt,0.30209851264953613,0.6979014873504639
BF GOODRICH COMPANY,1.0,0.86,1.06,transcripts_by_company/Goodrich_Corporation_2010Q1.txt,0.16066749393939972,0.8393325060606003
LGI HOMES INC,2.0,0.96,0.8,transcripts_by_company/LGI_Homes_Inc_2016Q2.txt,0.12189453840255737,0.8781054615974426
REDENVELOPE INC,4.0,0.43,0.49,transcripts_by_company/RedEnvelope_2005Q4.txt,0.1734817624092102,0.8265182375907898
GRUBHUB INC,1.0,0.3,0.56,transcripts_by_company/GrubHub_Inc_2019Q1.txt,0.20836138725280762,0.7916386127471924
SCHOLASTIC CORP,4.0,1.72,2.09,transcripts_by_company/Scholastic_2008Q4.txt,0.1773109883069992,0.8226890116930008
API GROUP CORP,2.0,0.37,0.35,transcripts_by_company/APi_Group_Corporation_2022Q2.txt,0.2778646945953369,0.7221353054046631
LHC GROUP INC,1.0,0.63,0.58,transcripts_by_company/LHC_Group_Inc_2018Q1.txt,0.10476633161306381,0.8952336683869362
RUE21 INC,1.0,0.52,0.5,transcripts_by_company/rue21_Inc_2012Q1.txt,0.12405605614185333,0.8759439438581467
KAPSTONE PAPER AND PACKAGING COR,4.0,0.51,0.4,transcripts_by_company/KapStone_Paper_and_Packaging_Corporation_2017Q4.txt,0.17698805034160614,0.8230119496583939
COPA HOLDINGS SA,4.0,0.73,1.92,transcripts_by_company/Copa_Holdings_SA_2015Q4.txt,0.10589957237243652,0.8941004276275635
SOTHEBY'S,1.0,0.03,-0.04,transcripts_by_company/Sothebys_2011Q1.txt,0.3076542019844055,0.6923457980155945
