ticker,period,eps_actual,eps_forecast,transcript_path,cosine,nnw
EVE HOLDING INC,2.0,-0.11,-0.11,transcripts_by_company/Eve_Holding_Inc_2023Q2.txt,0.13342422246932983,0.8665757775306702
EMBARCADERO TECHNOLOGIES,3.0,0.07,0.06,transcripts_by_company/Embarcadero_Technologies_2003Q3.txt,0.07212357968091965,0.9278764203190804
US AUTO PARTS NETWORK INC,4.0,-0.1,0.03,transcripts_by_company/US_Auto_Parts_2010Q4.txt,0.3905598521232605,0.6094401478767395
KIMBALL ELECTRONICS INC,4.0,0.28,0.22,transcripts_by_company/Kimball_Electronics_Inc_2016Q4.txt,0.23357133567333221,0.7664286643266678
CARECOM INC,2.0,-0.16,-0.2,transcripts_by_company/Carecom_Inc_2015Q2.txt,0.12580738961696625,0.8741926103830338
EQUINIX INC,1.0,0.81,0.85,transcripts_by_company/Equinix_Inc_2014Q1.txt,0.19670340418815613,0.8032965958118439
AFLAC INC,3.0,1.82,1.63,transcripts_by_company/Aflac_Incorporated_2016Q3.txt,0.14499829709529877,0.8550017029047012
VERA BRADLEY INC,2.0,-0.05,-0.11,transcripts_by_company/Vera_Bradley_Inc_2021Q2.txt,0.1600446254014969,0.8399553745985031
LANCASTER COLONY CORP,4.0,1.27,1.22,transcripts_by_company/Lancaster_Colony_Corp_2012Q4.txt,0.29849985241889954,0.7015001475811005
COTIVITI HOLDINGS INC,4.0,0.47,0.46,transcripts_by_company/Cotiviti_Holdings_Inc_2017Q4.txt,0.1641162633895874,0.8358837366104126
CRA INTERNATIONAL INC,4.0,0.95,0.76,transcripts_by_company/CRA_International_Inc_2020Q4.txt,0.1807815134525299,0.8192184865474701
BF GOODRICH COMPANY,1.0,0.47,0.41,transcripts_by_company/Goodrich_Corporation_2005Q1.txt,0.20995739102363586,0.7900426089763641
ALTRA INDUSTRIAL MOTION CORP,4.0,0.41,0.35,transcripts_by_company/Altra_Industrial_Motion_Corp_2016Q4.txt,0.2162705361843109,0.7837294638156891
SUNSTONE HOTEL INVESTORS INC,4.0,0.28,-0.05,transcripts_by_company/Sunstone_Hotel_Investors_Inc_2010Q4.txt,0.20787939429283142,0.7921206057071686
BENEFITFOCUS INC,2.0,-0.1,-0.12,transcripts_by_company/Benefitfocus_Inc_2022Q2.txt,0.2143402397632599,0.7856597602367401
PEBBLEBROOK HOTEL TRUST,4.0,-0.34,0.04,transcripts_by_company/Pebblebrook_Hotel_Trust_2022Q4.txt,0.10486547648906708,0.8951345235109329
"URBAN OUTFITTERS, INC.",1.0,0.8,0.8,transcripts_by_company/Urban_Outfitters_Inc_2019Q1.txt,0.14595496654510498,0.854045033454895
HURON CONSULTING GROUP INC,2.0,0.47,0.86,transcripts_by_company/Huron_Consulting_Group_2009Q2.txt,0.09612508863210678,0.9038749113678932
EXPRESS INC,3.0,0.25,0.12,transcripts_by_company/Hoteles_City_Express_SAB_de_CV_2015Q3.txt,0.2947687804698944,0.7052312195301056
KORN/FERRY INTERNATIONAL,1.0,0.26,0.36,transcripts_by_company/KornFerry_International_2012Q1.txt,0.37438035011291504,0.625619649887085
MARINA BIOTECH INC,1.0,-0.12,-0.27,transcripts_by_company/Marina_Biotech_Inc_2011Q1.txt,0.2961331903934479,0.7038668096065521
CABOT CORP,1.0,0.83,0.98,transcripts_by_company/Cabot_Microelectronics_2014Q1.txt,0.2669067978858948,0.7330932021141052
ALEXION PHARMACEUTICALS INC,1.0,1.28,1.23,transcripts_by_company/Alexion_Pharmaceuticals_Inc_2015Q1.txt,0.2401372343301773,0.7598627656698227
CABOT CORP,3.0,0.53,0.77,transcripts_by_company/Cabot_Oil_and_Gas_Corporation_2011Q3.txt,-0.03539412468671799,1.035394124686718
AMERICAN WATER WORKS COMPANY INC,1.0,0.25,0.27,transcripts_by_company/American_Water_Works_Company_Inc_2012Q1.txt,0.24951547384262085,0.7504845261573792
ROCKWELL AUTOMATION INC,4.0,2.14,2.33,transcripts_by_company/Rockwell_Automation_Inc_2021Q4.txt,0.16533905267715454,0.8346609473228455
REALPAGE INC,3.0,0.2,0.19,transcripts_by_company/RealPage_Inc_2016Q3.txt,0.24390524625778198,0.756094753742218
THL CREDIT INC,2.0,0.35,0.34,transcripts_by_company/THL_Credit_Inc_2015Q2.txt,0.30661240220069885,0.6933875977993011
FOAMIX PHARMACEUTICALS LTD,1.0,-0.14,-0.18,transcripts_by_company/Foamix_Pharmaceuticals_Ltd_2015Q1.txt,0.3070357143878937,0.6929642856121063
QUOTIENT LTD,2.0,-0.24,-0.29,transcripts_by_company/Quotient_Limited_2021Q2.txt,0.3026430606842041,0.6973569393157959
CENTRAL GARDEN  PET CO,2.0,0.47,0.39,transcripts_by_company/Central_Garden_and_Pet_Company_2012Q2.txt,0.22960227727890015,0.7703977227210999
COMMSCOPE HOLDING COMPANY INC,4.0,0.47,0.75,transcripts_by_company/CommScope_Holding_Company_Inc_2017Q4.txt,0.1948859989643097,0.8051140010356903
CVR ENERGY INC,3.0,0.37,0.17,transcripts_by_company/CVR_Energy_Inc_2017Q3.txt,0.2644041180610657,0.7355958819389343
SYNAPTICS INC,3.0,0.96,1.8,transcripts_by_company/Synaptics_Incorporated_2016Q3.txt,0.10301610082387924,0.8969838991761208
DXP ENTERPRISES INC,1.0,0.42,0.36,transcripts_by_company/DXP_Enterprises_Inc_2011Q1.txt,0.09919082373380661,0.9008091762661934
PRUDENTIAL FINANCIAL INC,4.0,2.46,2.31,transcripts_by_company/Prudential_Financial_Inc_2016Q4.txt,0.30293595790863037,0.6970640420913696
KADANT INC,4.0,0.54,0.45,transcripts_by_company/Kadant_2007Q4.txt,0.14318189024925232,0.8568181097507477
MEDICINOVA INC,4.0,-0.21,-0.28,transcripts_by_company/MediciNova_Inc_2011Q4.txt,0.3204863369464874,0.6795136630535126
UNISYS CORP,3.0,-0.33,-0.27,transcripts_by_company/Unisys_Corporation_2023Q3.txt,0.28438350558280945,0.7156164944171906
SBA COMMUNICATIONS CORP,4.0,-0.27,-0.08,transcripts_by_company/SBA_Communications_2007Q4.txt,0.13448122143745422,0.8655187785625458
CELGENE CORP,4.0,0.73,0.7,transcripts_by_company/Celgene_Corporation_2010Q4.txt,0.33085936307907104,0.669140636920929
EL POLLO LOCO HOLDINGS INC,3.0,0.19,0.18,transcripts_by_company/El_Pollo_Loco_Holdings_Inc_2018Q3.txt,0.11979115754365921,0.8802088424563408
CARECLOUD INC,4.0,-0.01,-0.11,transcripts_by_company/CareCloud_Inc_2021Q4.txt,0.30666738748550415,0.6933326125144958
BIODEL INC,1.0,-0.49,-0.45,transcripts_by_company/Biodel_Inc_2009Q1.txt,0.1755492091178894,0.8244507908821106
HANGER INC,1.0,-0.15,-0.09,transcripts_by_company/Hanger_Inc_2022Q1.txt,0.14474859833717346,0.8552514016628265
IGATE CAPITAL CORPORATION,2.0,0.48,0.47,transcripts_by_company/iGATE_Corporation_2014Q2.txt,0.1803441047668457,0.8196558952331543
TRADESTATION GROUP INC,3.0,0.17,0.14,transcripts_by_company/TradeStation_Group_Inc_2006Q3.txt,0.15864817798137665,0.8413518220186234
UNITED FIRE GROUP INC,1.0,1.0,0.85,transcripts_by_company/United_Fire_Group_Inc_2018Q1.txt,0.0995812937617302,0.9004187062382698
CONFORMIS INC,2.0,0.21,-0.07,transcripts_by_company/Conformis_Inc_2021Q2.txt,0.22706735134124756,0.7729326486587524
FIRST STATE BANCORPORATION,1.0,-1.19,0.11,transcripts_by_company/First_State_Bancorporation_2009Q1.txt,0.21756024658679962,0.7824397534132004
STANLEY FURNITURE CO,1.0,-0.22,0.06,transcripts_by_company/Stanley_Furniture_Company_Inc_2009Q1.txt,0.20810189843177795,0.791898101568222
NIKE INC,3.0,1.23,1.56,transcripts_by_company/NIKE_Inc_2012Q3.txt,0.3475004732608795,0.6524995267391205
CHANGE HEALTHCARE INC,2.0,0.38,0.44,transcripts_by_company/Change_Healthcare_Inc_2022Q2.txt,0.1641327142715454,0.8358672857284546
ISSUER DIRECT CORP,4.0,0.1,0.09,transcripts_by_company/Issuer_Direct_Corporation_2018Q4.txt,0.09828754514455795,0.901712454855442
ROMEO POWER INC,1.0,-0.34,-0.27,transcripts_by_company/Romeo_Power_Inc_2022Q1.txt,0.09274086356163025,0.9072591364383698
COINSTAR INC,4.0,0.18,0.16,transcripts_by_company/Coinstar_Inc_2006Q4.txt,0.09778790175914764,0.9022120982408524
MAZOR ROBOTICS LTD,2.0,-0.15,-0.17,transcripts_by_company/Mazor_Robotics_Ltd_2017Q2.txt,0.23080021142959595,0.769199788570404
DR PEPPER SNAPPLE GROUP INC,3.0,0.6,0.67,transcripts_by_company/Dr_Pepper_Snapple_Group_Inc_2010Q3.txt,0.11533372104167938,0.8846662789583206
OSI SYSTEMS INC,2.0,1.02,1.1,transcripts_by_company/OSI_Systems_Inc_2013Q2.txt,0.23114967346191406,0.7688503265380859
MF GLOBAL HOLDINGS LTD,2.0,0.1,0.12,transcripts_by_company/MF_Global_Holdings_Ltd_2011Q2.txt,0.12474773824214935,0.8752522617578506
JDS UNIPHASE CORP,2.0,-0.02,0.0,transcripts_by_company/JDS_Uniphase_Corporation_2005Q2.txt,0.056468263268470764,0.9435317367315292
DECIPHERA PHARMACEUTICALS INC,1.0,-1.25,-0.75,transcripts_by_company/Deciphera_Pharmaceuticals_Inc_2019Q1.txt,0.059000562876462936,0.9409994371235371
LUBY'S INC.,2.0,-0.02,0.0,transcripts_by_company/Lubys_Inc_2009Q2.txt,0.20418919622898102,0.795810803771019
DISH NETWORK CORP,2.0,0.14,0.59,transcripts_by_company/DISH_Network_Corporation_2009Q2.txt,0.17125573754310608,0.8287442624568939
LMI AEROSPACE INC,2.0,0.43,0.46,transcripts_by_company/LMI_Aerospace_Inc_2012Q2.txt,0.2795771360397339,0.7204228639602661
TOWN SPORTS INTERNATIONAL HOLDIN,3.0,0.2,0.12,transcripts_by_company/Town_Sports_International_Holdings_Inc_2006Q3.txt,0.1804063320159912,0.8195936679840088
SAREPTA THERAPEUTICS INC,2.0,-0.6,-0.39,transcripts_by_company/Sarepta_Therapeutics_Inc_2013Q2.txt,0.23675207793712616,0.7632479220628738
GENESCO INC,2.0,0.98,0.86,transcripts_by_company/Genesco_2012Q2.txt,0.13000640273094177,0.8699935972690582
DIAMEDICA THERAPEUTICS INC,4.0,-0.14,-0.24,transcripts_by_company/DiaMedica_Therapeutics_Inc_2022Q4.txt,0.23602525889873505,0.763974741101265
BUILD-A-BEAR WORKSHOP INC,3.0,-0.82,-0.01,transcripts_by_company/Build-A-Bear_Workshop_Inc_2020Q3.txt,0.1597224324941635,0.8402775675058365
CROWN CRAFTS INC,2.0,0.09,0.06,transcripts_by_company/Crown_Crafts_Inc_2012Q2.txt,0.09099320322275162,0.9090067967772484
NOKIA CORP,2.0,0.29,0.25,transcripts_by_company/Nokia_2006Q2.txt,0.12696421146392822,0.8730357885360718
PARADYNE NETWORKS INC.,3.0,-0.05,-0.07,transcripts_by_company/Paradyne_2003Q3.txt,0.09346865862607956,0.9065313413739204
NORTHERN TECHNOLOGIES INTERNATIO,1.0,0.1,0.23,transcripts_by_company/Northern_Technologies_International_Corporation_2023Q1.txt,0.3048079013824463,0.6951920986175537
"EAST WEST BANCORP, INC.",3.0,1.17,1.14,transcripts_by_company/East_West_Bancorp_Inc_2018Q3.txt,0.3047257661819458,0.6952742338180542
CRACKER BARREL OLD COUNTRY STORE,1.0,0.81,0.76,transcripts_by_company/Cracker_Barrel_Old_Country_Store_Inc_2009Q1.txt,0.2679525315761566,0.7320474684238434
AMBEV SA,2.0,0.04,0.01,transcripts_by_company/Ambev_SA_2017Q2.txt,0.20697557926177979,0.7930244207382202
CONCEPTUS INC,1.0,-0.09,0.0,transcripts_by_company/Conceptus_2011Q1.txt,0.14372529089450836,0.8562747091054916
STERLING FINANCIAL CORP (PA),1.0,0.4,0.43,transcripts_by_company/Sterling_Financial_Corporation_2005Q1.txt,0.1723850518465042,0.8276149481534958
AETNA INC,1.0,1.98,1.58,transcripts_by_company/Aetna_Inc_2014Q1.txt,0.187819242477417,0.812180757522583
VITAL SIGNS INC,3.0,0.62,0.67,transcripts_by_company/Vital_Signs_2006Q3.txt,0.20617333054542542,0.7938266694545746
CAMBRIDGE HEART INC,2.0,-0.03,-0.01,transcripts_by_company/Cambridge_Heart_Inc_2007Q2.txt,0.419518381357193,0.580481618642807
