ticker,period,eps_actual,eps_forecast,transcript_path,cosine,nnw
FAMILY DOLLAR STORES INC,4.0,0.44,0.71,transcripts_by_company/Family_Dollar_Stores_Inc_2014Q4.txt,0.19500719010829926,0.8049928098917007
MARIN SOFTWARE INC,4.0,-0.15,-0.19,transcripts_by_company/Marin_Software_2014Q4.txt,0.26545852422714233,0.7345414757728577
IMATION CORPORATION,4.0,0.64,0.61,transcripts_by_company/Imation_Corp_2007Q4.txt,0.19643977284431458,0.8035602271556854
GATX CORP,4.0,0.5,0.64,transcripts_by_company/GATX_Corp_2006Q4.txt,0.09712056070566177,0.9028794392943382
SONOCO PRODUCTS CO,4.0,1.02,1.34,transcripts_by_company/Sonoco_Products_Company_CurrentQ4.txt,0.28424373269081116,0.7157562673091888
MIRATI THERAPEUTICS INC,2.0,-0.94,-0.65,transcripts_by_company/Mirati_Therapeutics_Inc_2018Q2.txt,0.15932801365852356,0.8406719863414764
CASELLA WASTE SYSTEMS INC,1.0,0.02,0.02,transcripts_by_company/Casella_Waste_Systems_Inc_2006Q1.txt,0.3414403200149536,0.6585596799850464
INVITROGEN CORPORATION,3.0,0.77,0.75,transcripts_by_company/Invitrogen_Corporation_2004Q3.txt,0.1826334148645401,0.8173665851354599
CDI CORP,4.0,-0.12,0.09,transcripts_by_company/CDI_Corp_2010Q4.txt,0.1327144056558609,0.8672855943441391
BENIHANA INC,2.0,0.25,0.44,transcripts_by_company/Benihana_Inc_2007Q2.txt,0.32844239473342896,0.671557605266571
JAKKS PACIFIC INC,4.0,0.11,-0.33,transcripts_by_company/JAKKS_Pacific_Inc_2014Q4.txt,0.3847501873970032,0.6152498126029968
ARCUTIS BIOTHERAPEUTICS INC,2.0,-1.31,-1.33,transcripts_by_company/Arcutis_Biotherapeutics_Inc_2022Q2.txt,0.25746574997901917,0.7425342500209808
ROSS STORES INC,1.0,1.02,1.1,transcripts_by_company/Ross_Stores_Inc_2014Q1.txt,0.24682654440402985,0.7531734555959702
DISCOVERY INC,3.0,0.22,0.27,transcripts_by_company/Discovery_Laboratories_2009Q3.txt,0.17284639179706573,0.8271536082029343
POZEN INC,1.0,-0.08,-0.08,transcripts_by_company/POZEN_Inc_2004Q1.txt,0.26407498121261597,0.735925018787384
NAVIOS MARITIME PARTNERS LP,1.0,0.01,-0.03,transcripts_by_company/Navios_Maritime_Partners_2017Q1.txt,0.2779858708381653,0.7220141291618347
MCGRAW-HILL COMPANIES INCORPORAT,4.0,0.51,0.72,transcripts_by_company/The_McGraw-Hill_Companies_2007Q4.txt,0.2623731791973114,0.7376268208026886
MACROGENICS INC,3.0,-0.66,-0.98,transcripts_by_company/MacroGenics_Inc_2020Q3.txt,0.31860455870628357,0.6813954412937164
DARDEN RESTAURANTS INC,1.0,2.34,2.26,transcripts_by_company/Darden_Restaurants_Inc_2023Q1.txt,0.26917222142219543,0.7308277785778046
HASBRO BRADLEY I,2.0,0.29,0.24,transcripts_by_company/Hasbro_Inc_2010Q2.txt,0.30992254614830017,0.6900774538516998
