eps_name,period,eps_actual,eps_forecast,transcript_path,cosine,nnw
AMAZON,2007Q1,0.26,0.14,transcripts_by_company/Amazoncom_Inc_2007Q1.txt,0.6992276310920715,0.30077236890792847
AMAZON,2007Q2,0.19,0.1,transcripts_by_company/Amazoncom_Inc_2007Q2.txt,0.6742053627967834,0.32579463720321655
ADOBE,2007Q1,0.3,0.33,transcripts_by_company/Adobe_Systems_2007Q1.txt,0.7020386457443237,0.29796135425567627
ADOBE,2007Q2,0.37,0.37,transcripts_by_company/Adobe_Systems_2007Q2.txt,0.7102158069610596,0.28978419303894043
BANK_OF_AMERICA,2007Q1,1.17,1.18,transcripts_by_company/Bank_of_America_Corporation_2007Q1.txt,0.6906964182853699,0.3093035817146301
BANK_OF_AMERICA,2007Q2,1.28,1.22,transcripts_by_company/Bank_of_America_Corporation_2007Q2.txt,0.7036973834037781,0.2963026165962219
AAON,2007Q2,0.26,0.29,transcripts_by_company/AAON_Inc_2017Q2.txt,0.7213343381881714,0.2786656618118286
AAON,2007Q3,0.28,0.32,transcripts_by_company/AAON_Inc_2017Q3.txt,0.7246012687683105,0.27539873123168945
AAC_HOLDINGS,2017Q1,0.12,0.23,transcripts_by_company/AAC_Technologies_Holdings_Inc_2017Q1.txt,0.6524169445037842,0.3475830554962158
AAC_HOLDINGS,2017Q2,0.26,0.17,transcripts_by_company/AAC_Holdings_Inc_2017Q2.txt,0.6900855302810669,0.3099144697189331
