ticker,quarter,eps_actual,eps_forecast,transcript_path,cosine_prepared,cosine_qa,nnw_final,has_qa_section
IAA,2022Q1,0.66,0.57,/Users/vazea/Desktop/NNW/transcripts_by_company/IAA_INC_2022Q1.txt,0.27179231307152657,0.1642899256512343,0.5639177612772392,True
MLNK,2022Q2,0.09,0.1,/Users/vazea/Desktop/NNW/transcripts_by_company/MERIDIANLINK_INC_2022Q2.txt,0.31589786050361196,0.36505522389850437,0.3190469155978836,True
PCTI,2017Q4,0.28,0.27,/Users/vazea/Desktop/NNW/transcripts_by_company/PCTEL_INC_2017Q4.txt,0.37368854319742484,0.05985038458952338,0.5664610722130518,False
COVS,2015Q4,-0.52,-0.5,/Users/vazea/Desktop/NNW/transcripts_by_company/COVISINT_CORP_2015Q4.txt,0.12268254950694098,0.13391551961556086,0.7434019308774982,True
RFIL,2022Q1,0.06,0.05,/Users/vazea/Desktop/NNW/transcripts_by_company/RF_INDUSTRIES_LTD_2022Q1.txt,0.2457467841817533,0.23904244492050558,0.5152107708977411,True
WOR,2011Q2,0.2,0.26,/Users/vazea/Desktop/NNW/transcripts_by_company/WORTHINGTON_ENTERPRISES_INC_2011Q2.txt,0.1060671499391107,0.25877226473467174,0.6351605853262176,True
SBUX,2022Q2,0.59,0.6,/Users/vazea/Desktop/NNW/transcripts_by_company/STARBUCKS_CORP_2022Q2.txt,0.1333191617080494,0.12207133955673481,0.7446094987352159,True
STFC,2002Q2,-0.02,0.04,/Users/vazea/Desktop/NNW/transcripts_by_company/STATE_AUTO_FINANCIAL_CORP_2002Q2.txt,0.29527051008905025,0.3112766170367414,0.3934528728742083,True
WDR,2014Q4,3.64,3.63,/Users/vazea/Desktop/NNW/transcripts_by_company/WADDELL_REED_FINANCIAL_INC_2014Q4.txt,0.3619878425356794,0.07703255275021492,0.5609796047141057,False
MYE,2011Q3,0.14,0.13,/Users/vazea/Desktop/NNW/transcripts_by_company/MYERS_INDUSTRIES_INC_2011Q3.txt,0.3068889276551132,0.43057262114576356,0.2625384511991232,True
MRCY,2006Q2,0.18,0.1,/Users/vazea/Desktop/NNW/transcripts_by_company/MERCURY_SYSTEMS_INC_2006Q2.txt,0.45000944332439624,0.24541416991710416,0.30457638675849963,True
CYTO,2007Q2,-0.35,-0.33,/Users/vazea/Desktop/NNW/transcripts_by_company/CYTOGEN_CORPORATION_2007Q2.txt,0.30726428640153197,0.32435795382774946,0.3683777597707185,True
STST,2007Q3,0.19,0.29,/Users/vazea/Desktop/NNW/transcripts_by_company/ARGON_ST_INC_2007Q3.txt,0.5256638131709451,0.3729198789353706,0.10141630789368428,True
LLY,2004Q4,2.82,2.81,/Users/vazea/Desktop/NNW/transcripts_by_company/ELI_LILLY_AND_CO_2004Q4.txt,0.31487459107025034,0.2802133868685822,0.4049120220611674,True
ROL,2010Q4,0.56,0.6,/Users/vazea/Desktop/NNW/transcripts_by_company/ROLLINS_INC_2010Q4.txt,0.12984767216200205,0.140207223526854,0.7299451043111439,True
TTOO,2020Q3,-0.08,-0.08,/Users/vazea/Desktop/NNW/transcripts_by_company/T2_BIOSYSTEMS_INC_2020Q3.txt,0.28559576167058565,0.12395046345305895,0.5904537748763554,True
FIVE,2024Q1,0.67,0.63,/Users/vazea/Desktop/NNW/transcripts_by_company/FIVE_BELOW_INC_2024Q1.txt,0.18953222887192225,0.16276014016365659,0.6477076309644212,True
MSSR,2008Q2,0.16,0.14,/Users/vazea/Desktop/NNW/transcripts_by_company/MCCORMICK_SCHMICKS_SEAFOOD_RE_2008Q2.txt,0.3324311751988581,0.24716297755459946,0.4204058472465424,True
