eps_name,quarter,actual_eps,forecast_eps,filepath
SEIC,2011Q3,0.28,0.29,/Users/vazea/Desktop/NNW/transcripts_by_company/SEI_INVESTMENTS_CO_2011Q3.txt
BCO,2005Q2,0.21,0.33,/Users/vazea/Desktop/NNW/transcripts_by_company/BRINKS_CO_2005Q2.txt
SFNC,2016Q1,0.76,0.79,/Users/vazea/Desktop/NNW/transcripts_by_company/SIMMONS_FIRST_NATIONAL_CORP_2016Q1.txt
CBU,2017Q4,0.64,2.59,/Users/vazea/Desktop/NNW/transcripts_by_company/COMMUNITY_FINANCIAL_SYSTEM_INC_2017Q4.txt
SNX,2015Q2,1.55,1.53,/Users/vazea/Desktop/NNW/transcripts_by_company/TD_SYNNEX_CORP_2015Q2.txt
GDI,2005Q4,0.96,2.53,/Users/vazea/Desktop/NNW/transcripts_by_company/GARDNER_DENVER_INC_2005Q4.txt
MAT,2004Q4,0.52,1.16,/Users/vazea/Desktop/NNW/transcripts_by_company/MATTEL_INC_2004Q4.txt
GPS,2020Q4,0.58,1.75,/Users/vazea/Desktop/NNW/transcripts_by_company/GAP_INC_2020Q4.txt
USAP,2022Q2,-0.16,-0.12,/Users/vazea/Desktop/NNW/transcripts_by_company/UNIVERSAL_STAINLESS_ALLOY_PROD_2022Q2.txt
CRY,2005Q1,-0.06,-0.14,/Users/vazea/Desktop/NNW/transcripts_by_company/ARTIVION_INC_2005Q1.txt
TPX,2014Q2,0.39,0.39,/Users/vazea/Desktop/NNW/transcripts_by_company/TEMPUR_SEALY_INTERNATIONAL_INC_2014Q2.txt
AKAO,2017Q4,-0.86,-3.08,/Users/vazea/Desktop/NNW/transcripts_by_company/ACHAOGEN_INC_2017Q4.txt
LCI,2013Q4,0.12,0.42,/Users/vazea/Desktop/NNW/transcripts_by_company/LANNETT_COMPANY_INC_2013Q4.txt
CYRN,2019Q3,-0.06,-0.07,/Users/vazea/Desktop/NNW/transcripts_by_company/CYREN_LTD_2019Q3.txt
BRP,2020Q4,0.06,0.45,/Users/vazea/Desktop/NNW/transcripts_by_company/BALDWIN_INSURANCE_GROUP_INC_2020Q4.txt
AKG,2018Q1,0.01,-0.03,/Users/vazea/Desktop/NNW/transcripts_by_company/ASANKO_GOLD_INC_2018Q1.txt
TCAP,2015Q2,0.49,0.5,/Users/vazea/Desktop/NNW/transcripts_by_company/TRIANGLE_CAPITAL_CORP_2015Q2.txt
TSQ,2022Q2,0.71,0.62,/Users/vazea/Desktop/NNW/transcripts_by_company/TOWNSQUARE_MEDIA_INC_2022Q2.txt
RAD,2007Q3,-0.01,-0.01,/Users/vazea/Desktop/NNW/transcripts_by_company/RITE_AID_CORPORATION_2007Q3.txt
TCBI,2016Q1,0.49,0.68,/Users/vazea/Desktop/NNW/transcripts_by_company/TEXAS_CAPITAL_BANCSHARES_INC_2016Q1.txt
PIR,2010Q2,-0.16,-0.24,/Users/vazea/Desktop/NNW/transcripts_by_company/PIER_1_IMPORTS_2010Q2.txt
WWD,2021Q4,0.82,3.29,/Users/vazea/Desktop/NNW/transcripts_by_company/WOODWARD_INC_2021Q4.txt
