filepath,cusip,ticker,company_name,eps_actual,eps_forecast
/Users/vazea/Desktop/NNW/transcripts_by_company/IAA_INC_2022Q1.txt,44925310,IAA,IAA INC,0.66,0.57
/Users/vazea/Desktop/NNW/transcripts_by_company/MERIDIANLINK_INC_2022Q2.txt,58985J10,MLNK,MERIDIANLINK INC,0.09,0.1
/Users/vazea/Desktop/NNW/transcripts_by_company/PCTEL_INC_2017Q4.txt,69325Q10,PCTI,PCTEL INC,0.28,0.27
/Users/vazea/Desktop/NNW/transcripts_by_company/COVISINT_CORP_2015Q4.txt,22357R10,COVS,COVISINT CORP,-0.52,-0.5
/Users/vazea/Desktop/NNW/transcripts_by_company/RF_INDUSTRIES_LTD_2022Q1.txt,74955210,RFIL,RF INDUSTRIES LTD,0.06,0.05
/Users/vazea/Desktop/NNW/transcripts_by_company/WORTHINGTON_ENTERPRISES_INC_2011Q2.txt,98181110,WOR,WORTHINGTON ENTERPRISES INC,0.2,0.26
/Users/vazea/Desktop/NNW/transcripts_by_company/STARBUCKS_CORP_2022Q2.txt,85524410,SBUX,STARBUCKS CORP,0.59,0.6
/Users/vazea/Desktop/NNW/transcripts_by_company/STATE_AUTO_FINANCIAL_CORP_2002Q2.txt,85570710,STFC,STATE AUTO FINANCIAL CORP,-0.02,0.04
/Users/vazea/Desktop/NNW/transcripts_by_company/WADDELL_REED_FINANCIAL_INC_2014Q4.txt,93005910,WDR,WADDELL & REED FINANCIAL INC,3.64,3.63
/Users/vazea/Desktop/NNW/transcripts_by_company/MYERS_INDUSTRIES_INC_2011Q3.txt,62846410,MYE,MYERS INDUSTRIES INC,0.14,0.13
/Users/vazea/Desktop/NNW/transcripts_by_company/MERCURY_SYSTEMS_INC_2006Q2.txt,58937810,MRCY,MERCURY SYSTEMS INC,0.18,0.1
/Users/vazea/Desktop/NNW/transcripts_by_company/CYTOGEN_CORPORATION_2007Q2.txt,23282430,CYTO,CYTOGEN CORPORATION,-0.35,-0.33
/Users/vazea/Desktop/NNW/transcripts_by_company/ARGON_ST_INC_2007Q3.txt,04014910,STST,ARGON ST INC,0.19,0.29
/Users/vazea/Desktop/NNW/transcripts_by_company/ELI_LILLY_AND_CO_2004Q4.txt,53245710,LLY,ELI LILLY AND CO,2.82,2.81
/Users/vazea/Desktop/NNW/transcripts_by_company/ROLLINS_INC_2010Q4.txt,77571110,ROL,ROLLINS INC,0.56,0.6
/Users/vazea/Desktop/NNW/transcripts_by_company/T2_BIOSYSTEMS_INC_2020Q3.txt,89853L10,TTOO,T2 BIOSYSTEMS INC,-0.08,-0.08
/Users/vazea/Desktop/NNW/transcripts_by_company/FIVE_BELOW_INC_2024Q1.txt,33829M10,FIVE,FIVE BELOW INC,0.67,0.63
/Users/vazea/Desktop/NNW/transcripts_by_company/MCCORMICK_SCHMICKS_SEAFOOD_RE_2008Q2.txt,57979310,MSSR,MCCORMICK & SCHMICKS SEAFOOD RE,0.16,0.14
/Users/vazea/Desktop/NNW/transcripts_by_company/PRGX_GLOBAL_INC_2019Q3.txt,69357C50,PRGX,PRGX GLOBAL INC,-0.03,0.03
/Users/vazea/Desktop/NNW/transcripts_by_company/TRICIDA_INC_2018Q4.txt,89610F10,TCDA,TRICIDA INC,-4.64,-2.92
/Users/vazea/Desktop/NNW/transcripts_by_company/ALIGNMENT_HEALTHCARE_INC_2022Q4.txt,01625V10,ALHC,ALIGNMENT HEALTHCARE INC,-0.83,-0.81
/Users/vazea/Desktop/NNW/transcripts_by_company/ENCORE_CAPITAL_GROUP_INC_2010Q2.txt,29255410,ECPG,ENCORE CAPITAL GROUP INC,0.47,0.44
/Users/vazea/Desktop/NNW/transcripts_by_company/LEARNING_TREE_INTERNATIONAL_2012Q1.txt,52201510,LTRE,LEARNING TREE INTERNATIONAL,0.14,0.09
/Users/vazea/Desktop/NNW/transcripts_by_company/DIGI_INTERNATIONAL_INC_2023Q2.txt,25379810,DGII,DIGI INTERNATIONAL INC,0.5,0.44
/Users/vazea/Desktop/NNW/transcripts_by_company/SONOCO_PRODUCTS_CO_2002Q3.txt,83549510,SON,SONOCO PRODUCTS CO,0.34,0.33
